nstrings,nstates,duration_ms,fittest,fitness
1,51,200,10000101010111111100000101011010011001010000011010,197
55,344,14401,10000101010101111100000101011011011101010000011110,209
682,2878,27599,10000101010101101100010101010011011111010000011110,212
613,3040,40783,10100101010101001100010101100011010101010000011110,214
487,2688,54054,11100101010101001100010101100011010101010000111110,215
387,2080,66613,11100101010101001100010101110011011111001001111110,216
1215,4300,78683,11100101010101001100010101110011011111001001111110,216
3375,9112,90505,00100101010101001000010101101011010101001010011110,216
849,3780,102587,01100101010101001000010101101011010101000010011100,217
2901,7997,114295,00100101000101001000010101001011010111001011011110,217
4376,12525,126140,00100101000101001000010101001011010111001011011110,217
6805,17491,138877,00100101000101001000010101001011010111001011011110,217
8556,20724,151573,00100101000101001000010101001011010111001011011110,217
10091,24161,164526,00100101000101001000010101001011010111001011011110,217
12572,29255,177474,00100101000101000000010101101011010101000010011100,217
17809,38121,189337,00100101010101001000010101101011010111001011011111,217
20101,43286,201342,00100101010101001000010101001011010111001011011110,217
21897,47954,214048,00100101010101001000010101001011010111001011011110,217
24348,52303,227056,00100101010101001000010101001011010111001011011110,217
26739,59962,239819,00100101010101001000010101001011010111001011011110,217
28822,64695,252677,00100101000101000000010101100011010101000010011100,217
30133,33928,266538,00100101000101000000010101100011010101000010011100,217
32073,40225,279025,00100001000101000000010101001011010101010010011100,217
35639,51247,291769,00100001000101000000010101001011010101010010011100,217
37065,57348,304892,00100001000101000000010101001011010101010010011100,217
38558,61470,318482,00100001000101000000010101001011010101010010011100,217
43554,73095,331528,00100001000101000000010101001011010101010010011100,217
47381,83373,344576,00100001000101000000010001100011010101000010011100,217
50083,90009,357930,00100001000101000000010001100011010101000010011100,217
51784,94385,371714,00100001000101000000010001100011010101000010011100,217
53535,99470,385341,00100001000101000000010001100011010101000010011100,217
55618,107992,400116,00100001000101000000010001100011010101000010011100,217
58453,117519,413775,00100001000101000000010001100011010101000010011100,217
59529,122367,427756,00100001000101000000010001100011010101000010011100,217
60293,127363,441404,00100001000101000000010001100011010101000010011100,217
62230,131084,455920,00100001000101000000010001100011010101000010011100,217
63336,134540,470389,00100001000101000000010001100011010101000010011100,217
66463,143897,485061,00100001000101000000010001000011010011011011111110,217
67355,148617,500368,00100001000101000000010001000011010011011011111110,217
68732,153227,514701,00100001000101000000010001000011010011011011111110,217
69087,154818,528901,00100001000101000000010001000011010011011011111110,217
71028,75956,544141,00100001000101000000010001000011010011011011111110,217
12855,45278,557434,01100101010101001100010100100011010111000010111100,218
