nstrings,nstates,duration_ms,fittest,fitness
1,51,208,11111110001100100011100000001100111001011111111100,190
33,280,927,11111110001100100011100000001100011001010111111100,196
83,472,1643,11011110001100100011100000001100010101011111111100,200
25,254,2376,11011110011100100011100000001100010101010111111100,204
18,221,3049,11011110011101100011110000001100010101010111111100,208
27,250,3715,10011010011101100011110000001100010101010111111100,211
85,428,4424,10011010011101000011110000001100010101010111110100,212
73,406,5100,10011110010001000011110001000100010101010111111100,214
58,321,5762,10011110010001000011110001010100010101110111111100,215
147,616,6425,00011010010001000011110001010100010101110111111100,215
70,398,7089,10011010010001000011110001010100010101110111111100,216
155,717,7776,10011010010001000011110001010100010101110111111100,216
216,998,8502,10011010010001000011110001010100010101110111111100,216
390,1350,9237,10011110010001000011110001010000010100100111111100,216
509,1664,9912,10011110010001000011110001010000010100100111111100,216
612,2081,10593,10011110010001000011110001010000010100100111111100,216
218,1346,11294,10011010010001000011110001010000010101100111111100,217
298,1617,11983,10011010010001000011110001010000010101100111111100,217
377,1928,12718,10011010010001000011110001010000010101100111111100,217
472,2274,13411,10011010010001000011110001010000010101100101101100,217
545,2401,14127,10011010010001000011110001010000010101100101101100,217
626,1931,14904,10011010010001000011110001010000010101100101101100,217
714,2433,15593,10011010010001000011110001010000010101100101101100,217
1053,2903,16276,10001010010001000011110001010000010101100101111100,217
1251,3307,17045,10001010010001000011110001010000010101100101111100,217
1336,3548,17816,10001010010001000011110001010000010101100101111100,217
1497,4012,18540,10001010010001000011110001010000010101100101111100,217
1569,4239,19251,10001010010001000011110001010000010101100101111100,217
1627,4473,19968,10001010010001000011110001010000010101100101111100,217
1721,4871,20663,10001010010001000001110001010001010101100101111100,217
1818,5275,21410,10001010010001100011110001010001010101100101111100,217
1909,5652,22220,10001010010001000001110001010001010101100101111100,217
1991,6030,22952,10001010010001000001110001010001010101100101111100,217
2049,6411,23743,10001010010001000001110001010001010101100101111100,217
2153,6782,24498,10001010010001000001110001010001010101100101111100,217
2226,6976,25274,10001010010001000001110001010001010101100101111100,217
2426,7380,26054,10001010010001000001110001010001010101100101111100,217
2601,7786,26805,10001010010001000001110001010001010101100101111100,217
2807,8332,27556,10001010010001000001110001010001010101100101111100,217
2880,8547,28331,10001010010001000001110001010001010101100101111100,217
3028,8987,29092,10001010010001000001110001010001010101100101111100,217
3258,6705,29936,10001010010001000001110001010001010101100101111100,217
3617,7451,30693,10001010010001000001110001010001010101100101111100,217
3738,8134,31451,10001010010001000001110001010001010101100101111100,217
3797,8420,32234,10001010010001000001110001010001010101100101111100,217
3884,8682,33005,10001010010001000001110001010001010101100101111100,217
4256,9172,33773,10001010010001000001110001010000010101100101111100,217
4343,9521,34542,10001010010001000001110001010000010101100101111100,217
4426,9839,35314,10001010010001000001110001010000010101100101111100,217
4462,10113,36107,10001010010001000001110001010000010101100101111100,217
4537,10367,36911,10001010010000000011110001010100010100100001011000,217
4609,10627,37735,10001010010000000011110001010100010100100001011000,217
4783,11192,38570,10001010010000000011110001010100010100100001011000,217
4833,11504,39428,10001010010000000011110001010100010100100001011000,217
4914,11762,40266,10001010010000000011110001010100010100100001011000,217
4993,11954,41089,10001010010000000011110001010100010100100001011000,217
5098,12371,41955,10001010010000000011110001010100010100100001011000,217
5181,12752,42802,10001010010000000011110001010100010100100001011000,217
5214,12876,43675,10001010010000000011110001010100010100100001011000,217
5308,13032,44489,10001010010000000011110001010100010100100001011000,217
5398,13364,45317,10001010010000000011110001010100010100100001011000,217
5398,10347,46208,10001010010000000011110001010100010100100001011000,217
5455,10752,47046,10001010010000000011110001010100010100100001011000,217
5492,11064,47853,10001010010000000011110001010100010100100001011000,217
5668,11572,48651,10001010010000000011110001010100010100100001011000,217
5711,12554,49479,10001010010000000011110001010100010100100001011000,217
5787,12752,50387,10001010010000000011110001010100010100100001011000,217
5851,12947,51281,10001010010000000011110001010100010100100001011000,217
5957,13494,52116,10001010010000000011110001010100010100100001011000,217
6126,14099,52957,10001010010000000011110001010100010100100001011000,217
6190,14580,53805,10001010010000000011110001010100010100100001011000,217
6298,14987,54711,10001010010000000011110001010100010100100001011000,217
6531,15537,55634,10001010010000000011110001010100010100100001011000,217
6629,15786,56509,10001010010000000011110001010100010100100001011000,217
6709,16346,57384,10001010010000000011110001010100010100100001011000,217
6922,16836,58263,10001010010000000011110001010100010100100001011000,217
6988,17253,59169,10001010010000000011110001010100010100100001011000,217
7212,17804,60107,10001010010000000011110001010100010100100001011000,217
7387,18206,61005,10001010010000000011110001010100010100100001011000,217
7448,18339,61923,10001010010000000011110001010100010100100001011000,217
7523,18795,62890,10001010010000000011110001010100010100100001011000,217
7614,13733,63908,10001010010000000011110001010100010100100001011000,217
7699,14497,64835,10001010010000000011110001010100010100100001011000,217
7900,14993,65688,10001010010000000011110001010100010100100001011000,217
7972,15361,66530,10001010010000000011110001010100010100100001011000,217
8163,15890,67410,10001010010000000011110001010100010100100001011000,217
8257,16311,68345,10001010010000000011110001010100010100100001011000,217
8331,16510,69324,10001010010000000011110001010100010100100001011000,217
8391,16737,70227,10001010010000000011110001010100010100100001011000,217
8439,17398,71118,10001010010000000011110001010100010100100001011000,217
8500,17589,72024,10001010010000000011110001010100010100100001011000,217
8682,17948,72992,10001010010000000011110001010100010100100001011000,217
8995,18483,73970,10001010010000000011110001010100010100100001011000,217
9094,18928,74883,10001010010000000011110001010100010100100001011000,217
9131,19070,75850,10001010010000000011110001010100010100100001011000,217
9256,19493,76777,10001010010000000011110001010100010100100001011000,217
9256,19738,77798,10001010010000000011110001010100010100100001011000,217
9430,20228,78734,10001010010000000011110001010100010100100001011000,217
9592,20368,79701,10001010010000000011110001010100010100100001011000,217
9687,20894,80663,10001010010000000011110001010100010100100001011000,217
9750,21133,81655,10001010010000000011110001010100010100100001011000,217
9976,16995,82656,10001010010000000011110001010100010100100001011000,217
10045,17366,83632,10001010010000000011110001010100010100100001011000,217
10137,17762,84613,10001010010000000011110001010100010100100001011000,217
10205,17996,85597,10001010010000000011110001010100010100100001011000,217
10265,18068,86552,10001010010000000011110001010100010100100001011000,217
10314,18398,87544,10001010010000000011110001010100010100100001011000,217
10355,18661,88460,10001010010000000011110001010100010100100001011000,217
10469,19120,89437,10001010010000000011110001010100010100100001011000,217
10661,19402,90353,10001010010000000011110001010100010100100001011000,217
10706,19687,91341,10001010010000000011110001010100010100100001011000,217
10912,20363,92303,10001010010000000011110001010100010100100001011000,217
10976,20590,93265,10001010010000000011110001010100010100100001011000,217
11071,20786,94261,10001010010000000011110001010100010100100001011000,217
11334,21337,95249,10001010010000000011110001010100010100100001011000,217
11514,21605,96268,10001010010000000011110001010100010100100001011000,217
11633,21663,97265,10001010010000000011110001010100010100100001011000,217
11684,22412,98264,10001010010000000011110001010100010100100001011000,217
11902,22996,99235,10001010010000000011110001010100010100100001011000,217
11956,23353,100244,10001010010000000011110001010100010100100001011000,217
12032,23938,101295,10001010010000000011110001010100010100100001011000,217
12383,19963,102353,10001010010000000011110001010100010100100001011000,217
12454,20362,103275,10001010010000000011110001010100010100100001011000,217
12522,20855,104271,10001010010000000011110001010100010100100001011000,217
12701,21357,105230,10001010010000000011110001010100010100100001011000,217
12785,21641,106276,10001010010000000011110001010100010100100001011000,217
13008,22066,107304,10001010010000000011110001010100010100100001011000,217
13049,22462,108339,10001010010000000011110001010100010100100001011000,217
13199,22993,109375,10001010010000000011110001010100010100100001011000,217
13346,23497,110420,10001010010000000011110001010100010100100001011000,217
13568,24249,111416,10001010010000000011110001010100010100100001011000,217
13647,25013,112422,10001010010000000011110001010100010100100001011000,217
13832,25528,113516,10001010010000000011110001010100010100100001011000,217
13940,26007,114592,10001010010000000011110001010100010100100001011000,217
14015,26297,115687,10001010010000000011110001010100010100100001011000,217
14091,26581,116712,10001010010000000011110001010100010100100001011000,217
14145,26795,117863,10001010010000000011110001010100010100100001011000,217
14355,27157,118905,10001010010000000011110001010100010100100001011000,217
14555,27494,119942,10001010010000000011110001010100010100100001011000,217
14725,28026,120993,10001010010000000011110001010100010100100001011000,217
14775,28379,122049,10001010010000000011110001010100010100100001011000,217
14835,23280,123207,10001010010000000011110001010100010100100001011000,217
14912,23618,124198,10001010010000000011110001010100010100100001011000,217
14970,23898,125228,10001010010000000011110001010100010100100001011000,217
15019,24388,126294,10001010010000000011110001010100010100100001011000,217
15103,24803,127318,10001010010000000011110001010100010100100001011000,217
15238,25505,128405,10001010010000000011110001010100010100100001011000,217
15302,26204,129509,10001010010000000011110001010100010100100001011000,217
15385,26553,130605,10001010010000000011110001010100010100100001011000,217
15476,26964,131618,10001010010000000011110001010100010100100001011000,217
15740,27460,132740,10001010010000000011110001010100010100100001011000,217
15805,27763,133803,10001010010000000011110001010100010100100001011000,217
15936,28204,134858,10001010010000000011110001010100010100100001011000,217
15972,28672,135912,10001010010000000011110001010100010100100001011000,217
16017,29238,137110,10001010010000000011110001010100010100100001011000,217
16049,29392,138198,10001010010000000011110001010100010100100001011000,217
16135,29668,139269,10001010010000000011110001010100010100100001011000,217
16179,29802,140340,10001010010000000011110001010100010100100001011000,217
16370,30158,141502,10001010010000000011110001010100010100100001011000,217
16418,30358,142684,10001010010000000011110001010100010100100001011000,217
16475,30906,143781,10001010010000000011110001010100010100100001011000,217
16615,25901,145026,10001010010000000011110001010100010100100001011000,217
16792,26304,146147,10001010010000000011110001010100010100100001011000,217
16900,27155,147340,10001010010000000011110001010100010100100001011000,217
17102,27656,148409,10001010010000000011110001010100010100100001011000,217
17168,28020,149470,10001010010000000011110001010100010100100001011000,217
17378,28595,150618,10001010010000000011110001010100010100100001011000,217
17567,29107,151770,10001010010000000011110001010100010100100001011000,217
17630,29551,152843,10001010010000000011110001010100010100100001011000,217
17675,29731,153985,10001010010000000011110001010100010100100001011000,217
18011,30239,155070,10001010010000000011110001010100010100100001011000,217
18222,30805,156192,10001010010000000011110001010100010100100001011000,217
18293,31153,157316,10001010010000000011110001010100010100100001011000,217
18345,31365,158405,10001010010000000011110001010100010100100001011000,217
18418,31674,159521,10001010010000000011110001010100010100100001011000,217
18478,31900,160646,10001010010000000011110001010100010100100001011000,217
18566,32233,161790,10001010010000000011110001010100010100100001011000,217
18613,32704,163007,10001010010000000011110001010100010100100001011000,217
18652,32884,164236,10001010010000000011110001010100010100100001011000,217
18705,33003,165461,10001010010000000011110001010100010100100001011000,217
18791,33436,166612,10001010010000000011110001010100010100100001011000,217
18883,29184,167847,10001010010000000011110001010100010100100001011000,217
18946,29396,168927,10001010010000000011110001010100010100100001011000,217
19006,29836,170076,10001010010000000011110001010100010100100001011000,217
19288,30411,171173,10001010010000000011110001010100010100100001011000,217
19364,30681,172310,10001010010000000011110001010100010100100001011000,217
19456,31059,173462,10001010010000000011110001010100010100100001011000,217
19503,31231,174681,10001010010000000011110001010100010100100001011000,217
19585,31810,175925,10001010010000000011110001010100010100100001011000,217
19642,32297,177076,10001010010000000011110001010100010100100001011000,217
19772,32908,178367,10001010010000000011110001010100010100100001011000,217
19848,33064,179619,10001010010000000011110001010100010100100001011000,217
19973,33633,180771,10001010010000000011110001010100010100100001011000,217
20038,33956,181918,10001010010000000011110001010100010100100001011000,217
20078,34138,183143,10001010010000000011110001010100010100100001011000,217
20410,34574,184370,10001010010000000011110001010100010100100001011000,217
20478,34820,185539,10001010010000000011110001010100010100100001011000,217
