nstrings,nstates,duration_ms,fittest,fitness
1,51,207,00011011001100110110101100001001000001110010100101,192
133,683,2645,00011011001100110110111100001001001001110000100101,201
77,712,4983,01010011001100110110111100001001001101110000100101,208
25,298,7307,01010011001100010110110100001001001101111000100101,214
240,903,9491,01010011001100000100111100111001001101111000100101,216
517,1556,11866,01010011000100000100111100111000001101011000100101,217
1192,3096,14217,01010011000100000100110100111001001101111000100101,217
1745,4223,16545,01010011000100000100111100111000001101011000100101,217
490,1925,18939,01010111000100000100111100111000001101011000100101,218
