nstrings,nstates,duration_ms,fittest,fitness
1,51,208,00111000100111010111011011000010100001100110100110,181
3,78,931,00111000100111010111011011001010100001100110100010,191
45,336,1647,00111000100111010111011011101010100001101110100010,196
101,417,2363,00111000100101010111011011101010100000100010100010,200
78,500,3077,01111100100101011111011011101010100001100111100010,202
191,762,3791,00011100100101011111011001101010100001101111100010,203
41,390,4507,00111100100101111111011000101010100001101011100010,206
80,480,5219,00010100110101111101011010101010100001101111100010,207
176,652,5933,00011100110101111001011000101010100001101011100010,208
13,162,6651,00010100010101111001011000101110100001101111100010,211
91,467,7352,00010100010101111001011000101110100001111011100010,212
154,657,8053,00010100010101111001011000101110100001111011100010,212
256,1120,8756,00010100010101111001011000101110100001111011100010,212
111,734,9471,01011100010101111001011100101110100001111011101010,213
223,1245,10169,01011100010101111001011100101110100001111011101010,213
135,959,10872,01011100000101011001011000111100101001111011100011,214
216,1230,11578,01010100000101111001011100101110100001111011101010,214
280,1505,12343,01010100000101011001011000111110101001101011100010,214
351,1905,13060,01010100000101011001011000111110101001101011100010,214
446,2233,13781,01010100000101011001011000111110101001101011100010,214
518,2524,14498,01010100000101011001011000111110101001101011100010,214
590,1859,15226,01010100000101011001011000111110101001101011100010,214
673,2336,15934,01010100000101011001011000111110101001101011100010,214
743,2793,16660,01010100000101011001011000111110101001101011100010,214
275,1754,17376,01010100000101111001011000101110101001111011101010,215
410,2179,18080,01010100000101111001011000101110101001101011101010,215
443,2346,18796,01010100000101111001011000101110101001111011101010,215
558,2648,19509,01010100000101111001011000101110101001111011101010,215
598,2773,20224,01010100000101111001011000101110101001111011101010,215
732,3092,20936,01010100000101111001011000101110101001111011101010,215
1089,3728,21651,01010100000101011001011000111110101001101011001011,215
1117,4129,22376,01010100000101011001011000111110101001101011001011,215
1169,4317,23110,01010100000101011001011000111110101001101011001011,215
1225,4680,23843,01010100000101011001011000111110101001101011001011,215
1427,5354,24576,01010100000101011001011000111110101001101011001011,215
1454,5606,25318,01010100000101011001011000111110101001101011001011,215
1746,6129,26070,01010100000101011001011000111110101001101011001011,215
1768,6276,26833,01010100000101011001011000111110101001101011001011,215
1809,6619,27600,01010100000101011001011000111110101001101011001011,215
1920,7018,28359,01010100000101011001011000111110101001101011001011,215
2002,7358,29122,01010100000101011001011000111110101001101011001011,215
2285,4930,29923,01010100000101011001011000111110101001101011101011,215
2409,5608,30672,01010100000101011001011000111110101001001011101011,215
783,3676,31411,01010100000101011001011100111110001001101011100001,216
913,3905,32131,01010100000101011001011100111110001001101011100001,216
934,3999,32855,01010100000101011001011100111110001001101011100001,216
988,4184,33586,01010100000101011001011100111110001001101011100001,216
1059,4458,34306,01010100000101011001011100111110001001101011100001,216
1120,4776,35033,01010100000101011001011100111110001001101011100001,216
1193,5038,35774,01010100000101011001011100111110001001101011100001,216
1227,5279,36509,01010100000101011001011100111110001001101011100001,216
1256,5423,37276,01010100000101011001011100111110001001101011100001,216
1330,5587,38025,01010100000101011001011100111110001001101011100001,216
1384,5691,38772,01010100000101011001011100111110001001101011100001,216
1407,5794,39522,01010100000101011001011100111110001001101011100001,216
1550,6095,40263,01010100000101011001011100111110001001101011100001,216
1624,6394,41016,01010100000101011001011100111110001001101011100001,216
