nstrings,nstates,duration_ms,fittest,fitness
1,51,211,00111100000111010011100101001000110001011001001101,195
158,683,2802,00111100000111010011100101001000110100111001001101,203
144,996,5340,00111100000110010011101101001000111100111001001101,207
393,1638,7764,01111101000111010011100100001001101100111001001101,209
695,2215,10124,01111101000110010011101100001001101100111001101101,211
257,974,12425,01111101000110111011101100001001101110111001101101,213
229,822,14657,01110101000110101011101100001000101110111001101101,215
180,744,16853,11111101000110101011101100001100101110111001101101,216
510,1565,19059,11111101000110101011101100001100001110111001101101,216
845,2274,21320,11111101000110101011101100001100101110111001101101,216
1743,3854,23482,11111101000110101011101100001000001110111001101101,216
2229,4713,25683,11111101000110101011101100001000001100111001101101,216
2537,5307,27920,11111101000110101011101100001000001100111001101101,216
3273,6705,30142,11111101000110101011101100001000001100111001101101,216
3588,7292,32412,11111101000110101011101100001000001110111001101101,216
3787,8182,34703,11111101000110101011101100001000001110111001101101,216
4112,9600,36978,11111101000110101011101100001000001110111001101101,216
4663,11751,39355,11111101000110101011101100001000001100111001101101,216
5559,12710,41675,11111101000110101011101100001000001110111001101101,216
6450,13911,44116,11111101000110101011101100001000101100111001101101,216
6532,14556,46667,11111101000110101011101100001000101100111001101101,216
6808,8162,49113,11111101000110101011101100001000101100111001101101,216
7146,10965,51371,11110101000100101011100100001001001111111001101101,216
7311,11787,53720,11110101000100101011100100001001001111111001101101,216
7794,12988,56137,11110101000100101011100100001001001111111001101101,216
8039,13659,58432,11110101000100101011100100001001001111111001101101,216
8400,14950,60928,11110101000100101011100100001001001111111001101101,216
1792,6175,63246,11110101000100101011100100001001101111110101101101,217
1871,6483,65498,11110101000100101011100100001001101111110101101101,217
1982,6758,67663,11110101000100101011100100001001101111110101101101,217
2211,7461,69912,11110101000100101011100100001001001111110101101101,217
2307,7776,72235,11110101000100101011100100001001001111110101101101,217
2422,8101,74581,11110101000100101011100100001001001111110101101101,217
2614,8606,76900,11110101000100101011100100001001001111110101101101,217
2866,9187,79221,11110101000100101011100100001001001111111101101101,217
3090,9641,81482,11110101000100101011100100001001001111111101101101,217
3159,9936,83894,11110101000100101011100100001001001111111101101101,217
3319,10266,86133,11110101000100101011100100001001001111111101101101,217
3743,10983,88490,11110101000100101011100100001001001111110101101101,217
3874,11489,90840,11110101000100101011100100001001001111110101101101,217
4079,11978,93102,11110101000100101011100100001001001111110101101101,217
4131,6009,95513,11110101000100101011100100001001001111110101101101,217
4728,7864,97818,11110101000100101011100100001001001111110101101101,217
4907,8955,100097,11110101000100101011100100001001001111110101101101,217
4984,9638,102529,11110101000100101011100100001001001111110101101101,217
5144,10458,104897,11110101000100101011100100001001001111110101101101,217
6140,12477,107233,11110101000100101011100100001001001111110101101101,217
6673,13843,109535,11110101000100101011100100001001001111110101101101,217
6850,14416,111931,11110101000100101011100100001001001111110101101101,217
6959,15008,114355,11110101000100101011100100001001001111110101101101,217
7292,15983,116772,11010111001100100011100100001001101111101101101101,217
7408,16407,119306,11010111001100100011100100001001101111101101101101,217
7575,17207,121693,11010111001100100011100100001001101111101101101101,217
7649,17573,124097,11010111001100100011100100001001101111101101101101,217
7702,17888,126509,11010111001100100011100100001001101111101101101101,217
7761,18324,128973,11010111001100100011100100001001101111101101101101,217
7844,18528,131412,11010111001100100011100100001001101111101101101101,217
8028,19134,133905,11010111001100100011100100001001101111101101101101,217
8342,19990,136474,11010111001100100011100100001001101111101101101101,217
8514,20455,138839,11010111001100100011100100001001101111101101101101,217
8622,20880,141287,11010111001100100011100100001001101111101101101101,217
8732,11536,143893,11010111001100100011100100001001101111101101101101,217
8846,12539,146279,11010111001100100011100100001001101111101101101101,217
8966,13234,148633,11010111001100100011100100001001101111101101101101,217
9432,14813,150962,10010111001100100011100100001001101111101101101101,217
9562,15396,153322,10010111001100100011100100001001101111101101101101,217
9626,16496,155819,10010111001100100011100100001001101111101101101101,217
9735,19163,158235,10010111001100100011100100001001101111101101101101,217
9830,19754,160733,10010111001100100011100100001001101111101101101101,217
10066,20502,163194,10010111001100100011100100001001101111101101101101,217
10147,21386,165618,10010111001100100011100100001001101111101101101101,217
10294,21987,168021,10010111001100100011100100001001101111101101101101,217
10672,22972,170552,10010111001100100011100100001001101111101101101101,217
11358,24513,173035,10010111001100100011100100001001101111101101101101,217
11390,24923,175489,10010111001100100011100100001001101111101101101101,217
12241,27312,177939,10010111000100100011100100001001101111101101101101,217
12581,28474,180608,10010111000100100011100100001001101111101101101101,217
13751,31028,183251,10010111000100100011100100001001101111101101101101,217
13844,32109,185851,10010111000100100011100100001001101111101101101101,217
13998,32919,188504,10010111000100100011100100001001101111101101101101,217
14092,33727,191186,10010111000100100011100100001001101111101101101101,217
14452,19196,193917,10010111000100100011100100001001101111101101101101,217
14518,20182,196428,10010111000100100011100100001001101111101101101101,217
14672,21305,199006,10010111000100100011100100001001101111101101101101,217
14873,22727,201565,10010111000100100011100100001001101111101101101101,217
14952,23794,204080,10010111000100100011100100001001101111101101101101,217
15802,26654,206525,10010111000100100011100100001001101111101101101101,217
15924,28258,209118,10010111000100100011100100001001101111101101101101,217
15997,28945,211900,10010111000100100011100100001001101111101101101101,217
16259,30181,214432,10010111000100100011100100001001101111101101101101,217
16333,31946,217088,10010111000100100011100100001001101111101101101101,217
16389,32641,219918,10010111000100100011100100001001101111101101101101,217
16547,33436,222598,10010111000100100011100100001001101111101101101101,217
16821,34546,225506,10010111000100100011100100001001101111101101101101,217
17047,35542,228132,10010111000100100011100100001001101111101101101101,217
17217,36405,230829,10010111000100100011100100001001101111101101101101,217
17378,37460,233692,10010111000100100011100100001001101111101101101101,217
17413,37921,236397,10010111000100100011100100001001101111101101101101,217
17785,39298,239186,10010111000100100011100100001001101111101101101101,217
17901,40953,242112,10010111000100100011100100001001101111101101101101,217
18314,42093,244912,10010111000001100011101100001001001111101101101111,217
18531,23924,247830,10010111000001100011101100001001001111101101101111,217
18693,25679,250380,10010111000001100011101100001001001111101101101111,217
18837,27162,253090,10010111000001100011101100001001001111101101101111,217
18925,28916,255718,10010111000001100011101100001001001111101101101111,217
19022,29653,258382,10010111000001100011101100001001001111101101101111,217
19380,31265,261019,10010111000001100011101100001001001111101101101111,217
20217,34616,263623,10010111000001100001101100001001001111101101101111,217
20327,35137,266308,10010111000001100001101100001001001111101101101111,217
20628,37143,269004,10010111000001100001101100001001001111101101101111,217
20862,38161,271677,10010111000001100001101100001001001111101101101111,217
21080,40390,274429,10010111000001100001101100001001001111101101101111,217
21142,41060,277474,10010111000001100001101100001001001111101101101111,217
21512,43479,280234,10010111000001100001101100001001001111101101101111,217
22014,45154,283161,10010111000001100001101100001001001111101101101111,217
22166,46379,286057,10010111000001100001101100001001001111101101101111,217
22240,46904,289049,10010111000001100001101100001001001111101101101111,217
22409,47565,292063,10010111000001100001101100001001001111101101101111,217
22612,48306,295206,10010111000001100001101100001001001111101101101111,217
22691,48734,298238,10010111000001100001101100001001001111101101101111,217
22966,49447,301085,10010111000001100001101100001001001111101101101111,217
23142,29788,304253,10010111000001100001101100001001001111101101101111,217
23221,31728,307060,10010111000001100001101100001001001111101101101111,217
23345,34893,309758,10010111000001100001101100001001001111101101101111,217
23418,36449,312547,10010111000001100001101100001001001111101101101111,217
23550,37146,315357,10010111000001100001101100001001001111101101101111,217
23575,37573,318120,10010111000001100001101100001001001111101101101111,217
23834,38631,320843,10010111000001100001101100001001001111101101101111,217
23938,39807,323589,10010111000001100001101100001001001111101101101111,217
24226,41770,326373,10010111000001100001101100001001001111101101101111,217
24495,42733,329192,10010111000001100001101100001001001111101101101111,217
25291,44575,332010,10010111000001100001101100001001001101101101101111,217
25314,44999,335000,10010111000001100001101100001001001101101101101111,217
25637,46969,337877,10010111000001100001101100001001001101101101101111,217
26006,48654,340799,10010111000001100001101100001001001101101101101111,217
26442,50404,343832,10010111000001100001101100001001001101101101101111,217
27006,52086,346915,10010111000001100001101100001001001101101101101111,217
27117,53032,350026,10010111000001100001101100001001001101101101101111,217
27292,54852,353403,10010111000001100001101100001001001101101101101111,217
27411,55760,356702,10010111000001100001101100001001001101101101101111,217
28237,58398,359916,10010111000001100001101100001001001101101101101111,217
28432,36177,363523,10010111000001100001101100001001001101101101101111,217
28588,37877,366434,10010111000001100001101100001001001101101101101111,217
28746,39298,369340,10010111000001100001101100001001001101101101101111,217
29187,41041,372272,10010111000001100001101100001001001101101101101111,217
29283,42312,375324,10010111000001100001101100001001001101101101101111,217
29528,43703,378206,10010111000001100001101100001001001101101101101111,217
29646,44919,381178,10010111000001100001101100001001001101101101101111,217
29958,47289,384228,10010111000001100001101100001001001101101101101111,217
30054,48833,387210,10010111000001100001101100001001001101101101101111,217
30429,51894,390466,10010111000001100001101100001001001101101101101111,217
30548,52996,393686,10010111000001100001101100001001001101101101101111,217
30751,54274,396860,10010111000001100001101100001001001101101101101111,217
30818,55564,400205,10010111000001100001101100001001001101101101101111,217
30836,56730,403433,10010111000001100001101100001001001101101101101111,217
31166,58392,406714,10010111000001100001101100001001001101101101101111,217
31466,59796,409930,10010111000001100001101100001001001101101101101111,217
31572,60379,413242,10010111000001100001101100001001001101101101101111,217
31827,61026,416451,10010111000001100001101100001001001101101101101111,217
31914,61853,419761,10010111000001100001101100001001001101101101101111,217
32229,63216,422951,10010111000001100001101100001001001101101101101111,217
32736,40874,426412,10010111000001100001101100001001001101101101101111,217
32942,42434,429351,10010111000001100001101100001001001101101101101111,217
33111,44722,432392,10010111000001100001101100001001001101101101101111,217
33190,46347,435395,10010111000001100001101100001001001101101101101111,217
33446,49122,438398,10010111000001100001101100001001001101101101101111,217
33891,50260,441441,10010111000001100001101100001001001101101101101111,217
33915,53081,444571,10010111000001100001101100001001001101101101101111,217
34167,55015,447910,10010111000001100001101100001001001101101101101111,217
34251,56106,451374,10010111000001100001101100001001001101101101101111,217
34315,56931,454754,10010111000001100001101100001001001101101101101111,217
34421,57683,458124,10010111000001100001101100001001001101101101101111,217
34589,58371,461376,10010111000001100001101100001001001101101101101111,217
34672,59479,464599,10010111000001100001101100001001001101101101101111,217
34797,60556,468029,10010111000001100001101100001001001101101101101111,217
34932,62609,471282,10010111000001100001101100001001001101101101101111,217
35707,64950,474687,10010111000001100001101100001001001101101101101111,217
35806,65716,478076,10010111000001100001101100001001001101101101101111,217
36360,67164,481492,10010111000001100001101100001001001101101101101111,217
36372,67805,484933,10010111000001100001101100001001001101101101101111,217
36637,69615,488382,10010111000001100001101100001001001101101101101111,217
36667,45131,492178,10010111000001100001101100001001001101101101101111,217
36901,46677,495367,10010111000001100001101100001001001101101101101111,217
37365,48335,498364,10010111000000100011100100001001101111100101101101,217
37579,50968,501385,10010111000000100011100100001001101111100101101101,217
37928,53556,504470,10010111000000100011100100001001101111100101101101,217
38155,55349,507655,10010111000000100011100100001001101111100101101101,217
38516,57569,510932,10010111000000100011100100001001101111100101101101,217
38754,58789,514076,10010111000000100011100100001001101111100101101101,217
38944,60434,517323,10010111000000100011100100001001101111100101101101,217
38994,62346,520656,10010111000000100011100100001001101111100101101101,217
39056,63776,523952,10010111000000100011100100001001101111100101101101,217
39313,64643,527333,10010111000000100011100100001001101111100101101101,217
39772,66329,530727,10010111000000100011100100001001101111100101101101,217
39812,66980,534080,10010111000000100011100100001001101111100101101101,217
40237,68348,537436,10010111000000100011100100001001101111100101101101,217
40306,69171,540962,10010111000000100011100100001001101111100101101101,217
40379,69750,544510,10010111000000100011100100001001101111100101101101,217
