nstrings,nstates,duration_ms,fittest,fitness
1,51,209,10111010000010110001110000110101001001111011000011,195
2,67,486,10110010000010110001110000110101001001111011000011,199
12,98,759,10110010000010110001010000110101001001111011000011,201
10,136,1033,10110010000010110001000000110101001001111011000011,203
29,169,1307,10110010000010010001000000110101001001111011000011,204
28,155,1581,10110010000010010001001000110101001001111011000011,206
50,168,1854,10110010000010010001001000110101001001111011000011,206
34,224,2129,10111010000010010001001100111101101001111011000011,207
31,220,2403,10111010000010010001001100111001101001111011000011,208
24,165,2676,10001010000010010001001100110001101001111011000011,209
41,280,2950,10101010000010010001001100111001101001111011000001,209
57,345,3224,10100010000010010001001100110001101101111011000001,209
20,222,3500,11001010000010010001001100110001101001111011000001,211
33,303,3775,11001010000010010001001101110001101001111011000001,211
45,389,4048,11001010000010010001001100110001101001111011000001,211
56,435,4322,01001010000010010001001100110001101001111011000011,211
56,436,4597,01001010000010010001001100110001101001111011000011,211
71,480,4871,01001010000010010001001100110001101001111011000011,211
82,503,5145,01001010000010010001001100110001101001111011000011,211
34,392,5419,11001010000010010001001101111001101001111011000001,212
45,424,5690,11001010000010010001001101111001101001111011000001,212
27,320,5965,11000010000010010001001100110001101101111011000001,213
40,346,6238,11000010000010010001001000110001101101111011000001,213
51,396,6512,11000010000010010001001000110001101101111011000001,213
51,398,6783,11000010000010010001001000110001101101111011000001,213
62,422,7057,11000010000010010001001000110001101101111011000001,213
72,434,7329,11000010000010010001001000110001101101111011000001,213
80,458,7602,11000010000010010001001000110001101101111011000001,213
96,500,7875,10000010000010010001001100111001101101111011000001,213
96,518,8149,10000010000010010001001100111001101101111011000001,213
52,395,8422,10000010000010010001001100111001001101111011000001,214
66,442,8694,10000010000010010001001100111001001101111011000001,214
56,347,8967,10000010000010000001001100111001101101111010000001,215
22,199,9244,11000010000010000001001100111001001101111011000001,216
33,236,9524,11000010000010000001001100111001001101111011000001,216
43,363,9833,11000010000010000001001100111001101101111010000101,216
53,379,10117,11000010000010000001001100111001101101111010000101,216
63,388,10387,11000010000010000001001100111001101101011010000101,216
74,461,10658,11000010000010000001001100111001101101011010000101,216
84,487,10929,11000010000010000001001100111001101101011010000101,216
22,278,11200,11000010000010000001001100111001001101111010000001,217
31,267,11470,11000010000010000001001100111001001101011010000101,217
40,290,11739,11000010000010000001001000111001001101011010000101,217
76,414,12009,11000010000010000000001000111001001101011010000101,217
97,476,12280,11000010000010000000001000111001001101011010000101,217
108,518,12552,11000010000010000000001000111001001101011010000101,217
143,569,12822,11000010000010000000001100111001001101011010000101,217
176,624,13094,11000010000010000000001000111001001101011010000101,217
186,677,13369,11000010000010000000001000111001001101011010000101,217
198,783,13645,11000010000010000000001000111001001101011010000101,217
222,859,13921,11000010000010000000001000111001001101011010000101,217
245,917,14199,11000010000010000000001000111001001101011010000101,217
251,955,14478,11000010000010000000001000111001001101011010000101,217
273,965,14759,11000010000010000000001000111001001101011010000101,217
295,1006,15034,11000010000010000000001000111001001101011010000101,217
306,1101,15311,11000010000010000000001000111001001101011010000101,217
331,1192,15590,11000010000010000000001000111001001101011010000101,217
343,1221,15868,11000010000010000000001000111001001101011010000101,217
353,1353,16148,11000010000010000000001000111001001101011010000101,217
375,1373,16431,11000010000010000000001000111001001101011010000101,217
401,1461,16713,11000010000000000001001100111001001101111010000101,217
411,1286,17002,11000010000000000001001100111001001101111010000101,217
417,1370,17286,11000010000000000001001100111001001101111010000101,217
426,1394,17561,11000010000000000001001100111001001101111010000101,217
447,1526,17842,11000010000000000001001100111001001101111010000101,217
460,1610,18127,11000010000000000001001100111001001101111010000101,217
469,1740,18413,11000010000000000001001100111001001101111010000101,217
491,1770,18699,11000010000000000001001100111001001101111010000101,217
499,1782,18993,11000010000000000001001100111001001101111010000101,217
522,1810,19292,11000010000000000001001100111001001101111010000101,217
529,1864,19603,11000010000000000001001100111001001101111010000101,217
541,1933,19933,11000010000000000001001100111001001101111010000101,217
550,1936,20222,11000010000000000001001100111001001101111010000101,217
557,2023,20526,11000010000000000001001100111001001101111010000101,217
569,2145,20858,11000010000000000001001100111001001101111010000101,217
577,2256,21155,11000010000000000001001100111001001101111010000101,217
577,2267,21449,11000010000000000001001100111001001101111010000101,217
597,2290,21744,11000010000000000001001100111001001101111010000101,217
621,2305,22035,11000010000000000001001100111001001101011010000101,217
628,2337,22329,11000010000000000001001100111001001101011010000101,217
645,2380,22623,11000010000000000001001100111001001101011010000101,217
655,1914,22921,11000010000000000001001100111001001101011010000101,217
666,1954,23210,11000010000000000001001100111001001101011010000101,217
677,2055,23501,11000010000000000001001100111001001101011010000101,217
687,2149,23792,11000010000000000001001100111001001101011010000101,217
699,2170,24086,11000010000000000001001100111001001101011010000101,217
720,2235,24376,11000010000000000001001100111001001101011010000101,217
743,2292,24666,11000010000000000001001100111001001101011010000101,217
762,2334,24959,11000010000000000001001100111001001101011010000101,217
772,2480,25254,11000010000000000001001100111001001101011010000101,217
779,2582,25550,11000010000000000001001100111001001101011010000101,217
787,2597,25847,11000010000000000001001100111001001101011010000101,217
798,2690,26145,11000010000000000001001100111001001101011010000101,217
806,2730,26444,11000010000000000001001100111001001101011010000101,217
828,2804,26744,11000010000000000001001100111001001101011010000101,217
837,2844,27043,11000010000000000001001100111001001101011010000101,217
844,2918,27343,11000010000000000001001100111001001101011010000101,217
853,2959,27642,11000010000000000001001100111001001101011010000101,217
864,3000,27941,11000010000000000001001100111001001101011010000101,217
887,3092,28245,11000010000000000001001100111001001101011010000101,217
897,3128,28548,11000010000000000001001100111001001101011010000101,217
908,2586,28860,11000010000000000001001100111001001101011010000101,217
919,2627,29155,11000010000000000001001100111001001101011010000101,217
930,2713,29453,11000010000000000001001100111001001101011010000101,217
943,2809,29753,11000010000000000001001100111001001101011010000101,217
956,2872,30052,11000010000000000001001100111001001101011010000101,217
979,3046,30354,11000010000000000001001100111001001101011010000101,217
989,3095,30658,11000010000000000001001100111001001101011010000101,217
999,3139,30961,11000010000000000001001100111001001101011010000101,217
1010,3178,31263,11000010000000000001001100111001001101011010000101,217
1037,3235,31567,11000010000000000001001100111001001101011010000101,217
1051,3354,31872,11000010000000000001001100111001001101011010000101,217
1071,3368,32176,11000010000000000001001100111001001101011010000101,217
1079,3430,32483,11000010000000000001001100111001001101011010000101,217
1086,3464,32789,11000010000000000001001100111001001101011010000101,217
1093,3492,33097,11000010000000000001001100111001001101011010000101,217
1111,3515,33405,11000010000000000001001100111001001101011010000101,217
1119,3546,33712,11000010000000000001001100111001001101011010000101,217
1138,3674,34021,11000010000000000001001100111001001101011010000101,217
1151,3683,34331,11000010000000000001001100111001001101011010000101,217
1157,3752,34641,11000010000000000001001100111001001101011010000101,217
1160,3333,34961,11000010000000000001001100111001001101011010000101,217
1169,3382,35271,11000010000000000001001100111001001101011010000101,217
1177,3496,35580,11000010000000000001001100111001001101011010000101,217
1210,3618,35888,11000010000000000001001100111001001101011010000101,217
1221,3669,36198,11000010000000000001001100111001001101011010000101,217
1230,3770,36508,11000010000000000001001100111001001101011010000101,217
1241,3816,36819,11000010000000000001001100111001001101011010000101,217
1249,3855,37132,11000010000000000001001100111001001101011010000101,217
1259,3899,37447,11000010000000000001001100111001001101011010000101,217
1269,3926,37762,11000010000000000001001100111001001101011010000101,217
1278,3947,38074,11000010000000000001001100111001001101011010000101,217
1288,3976,38388,11000010000000000001001100111001001101011010000101,217
1297,4004,38699,11000010000000000001001100111001001101011010000101,217
1297,4006,39013,11000010000000000001001100111001001101011010000101,217
1305,4030,39328,11000010000000000001001100111001001101011010000101,217
1305,4039,39643,11000010000000000001001100111001001101011010000101,217
1314,4105,39960,11000010000000000001001100111001001101011010000101,217
1322,4153,40272,11000010000000000001001100111001001101011010000101,217
1331,4176,40590,11000010000000000001001100111001001101011010000101,217
1338,4189,40904,11000010000000000001001100111001001101011010000101,217
1351,3756,41229,11000010000000000001001100111001001101011010000101,217
1376,3900,41541,11000010000000000001001100111001001101011010000001,217
1385,3966,41855,11000010000000000001001100111001001101011010000001,217
1385,4007,42172,11000010000000000001001100111001001101011010000001,217
1405,4023,42484,11000010000000000001001100111001001101011010000001,217
1413,4064,42799,11000010000000000001001100111001001101011010000001,217
388,2496,43107,11000010000101000001001100111001001101111010101101,218
