nstrings,nstates,duration_ms,fittest,fitness
1,51,208,11001000100000010110110111011111000110011000111101,188
14,138,2895,11000000100000010110110101011111000110011000101101,203
360,1548,5538,11000000000001010110010101011111000110011000101101,207
360,1336,8036,11001000000001000110000101011111000100011000001101,209
702,2265,10442,11100000000001010010000101001111000100011000001101,210
275,1263,12876,11100000000001010010100100011110000101011000001101,212
203,1040,15326,11100011000001011010000100011110001101111000101101,214
413,1750,17776,01110101000001011010110100011010001101111000101101,215
453,1725,20145,01000100000000011010111100111010001101111000100101,216
924,2661,22508,01000100000000011010111100111010001101111000100101,216
468,1726,25003,01010100000000011010111100111000001101111000100101,217
1201,3263,27591,01010100000000011011111100111000001101011000100101,217
1855,4763,29918,01010100000000011010111100111010001101011000100101,217
909,2586,32207,01010110000000000111111100111000001101111000100101,218
