nstrings,nstates,duration_ms,fittest,fitness
1,51,200,00101101100001100011101010011100010100101010011110,193
2,82,466,00101101110001100011101010011100010100101010011110,198
31,100,722,00101101110001100011101010011100000100101010011110,200
58,139,979,00101101110001100011101010011100000100101010011110,200
84,166,1237,00101101110001100011101010011100000100101010011110,200
68,300,1495,00101101110001100011101011011100010100100010011110,201
13,188,1754,00111101010001100111101010011100010100101010011100,203
36,236,2014,00111101010001100111101010011100010100101010011100,203
58,257,2273,00111101010001100111101010011100010100101010011100,203
81,322,2534,00111101010001100111101010011100010100101010011100,203
104,346,2795,00111101010001100111101010011100010100101010011100,203
50,305,3052,00111101010001100111101010011100000100101010011100,204
22,307,3311,00111101010001100111101010011100100100101010011100,205
42,365,3571,00111101010001100111101010011100100100101010011100,205
16,255,3831,00111101010001100111101010011100100100101010011000,206
46,328,4088,00111101010001100111101010011000100100101010011100,206
68,410,4349,00111101010001100111101010011000100100101010011100,206
88,531,4610,00111101010001100111101010011000100100101010011100,206
108,607,4877,00111101010001100111101010011000100100101010011100,206
129,682,5139,00111101010001100111101010011000100100101010011100,206
148,760,5406,00111101010001100111101010011000100100101010011100,206
70,484,5672,01111100110001100111101001011100010100001010011100,207
90,582,5933,01111100110001100111101001011100010100001010011100,207
108,627,6196,01111100110001100111101001011100010100001010011100,207
128,701,6460,01111100110001100111101001011100010100001010011100,207
147,741,6724,01111100110001100111101001011100010100001010011100,207
165,790,6989,01111100110001100111101001011100010100001010011100,207
183,790,7253,01111100110001100111101001011100010100001010011100,207
200,903,7519,01111100110001100111101001011100010100001010011100,207
217,953,7785,01111100110001100111101001011100010100001010011100,207
236,1036,8052,01111100110001100111101001011100010100001010011100,207
85,832,8319,11001101110001100111101001010100010100000010011110,208
102,880,8581,11001101110001100111101001010100010100000010011110,208
119,950,8844,11001101110001100111101001010100010100000010011110,208
136,1060,9111,11001101110001100111101001010100010100000010011110,208
136,1061,9379,11001101110001100111101001010100010100000010011110,208
59,513,9643,01111100110001100111101001010100010100001010011100,209
26,316,9903,01111100110001100111101001010100010100001010011000,210
15,165,10163,01111100110001100111111001010100010100001010011000,212
42,243,10419,01111100010001100111101001010100010100000010011000,212
68,269,10675,01111100010001000111101001010100010100000010011000,212
79,268,10933,01111100010001000111101001010100010100000010011000,212
55,271,11190,01111100010001100111111001010100010100000010011000,213
82,316,11448,01111100010001100111111001010100010100000010011000,213
94,361,11705,01111100010001100111111001010100010100000010011000,213
103,408,11963,01111100010001100111111001010100010100000010011000,213
116,464,12222,01111100010001100111111001010100010100000010011000,213
142,521,12481,01111100010001100111111001010100010100000010011000,213
152,585,12742,01111100010001100111111001010100010100000010011000,213
176,720,13003,01111100010001100111111001010100010100000010011000,213
176,727,13265,01111100010001100111111001010100010100000010011000,213
185,788,13528,01111100010001100111111001010100010100000010011000,213
211,852,13791,01111100010001100111111001010100010100000010011000,213
218,896,14054,01111100010001100111111001010100010100000010011000,213
229,1004,14318,01111100010001100111111001010100010100000010011000,213
242,1056,14583,01111100010001100111111001010100010100000010011000,213
269,1105,14847,01111100010001000111111001010100010100100010011000,213
281,1144,15115,01111100010001000111111001010100010100100010011000,213
293,1249,15383,01111100010001000111111001010100010100100010011000,213
300,1260,15650,01111100010001000111111001010100010100100010011000,213
324,1294,15917,01111100010001000111111001010100010100100010011000,213
348,1094,16189,01111100010001000111101001010100010101000110011000,213
359,1336,16457,01111100010000100111101001010100010100000010011000,213
371,1435,16727,01111100010000100111101001010100010100000010011000,213
371,1446,16996,01111100010000100111101001010100010100000010011000,213
394,1491,17265,01011100010000100111101001010100010100000010011000,213
406,1528,17536,01011100010000100111101001010100010100000010011000,213
417,1580,17810,01011100010000100111101001010100010100000010011000,213
438,1618,18082,01011100010000100111101001010100010100000010011000,213
474,1675,18353,01011100010000100111101001010100010100000010011000,213
487,1752,18623,01011100010000100111101001010100010100000010011000,213
193,1193,18893,01111100010000000111111001010100010100000010011000,214
212,1217,19160,01111100010000000111111001010100010100000010011000,214
225,1262,19426,01111100010000000111111001010100010100000010011000,214
236,1310,19692,01111100010000000111111001010100010100000010011000,214
249,1352,19958,01111100010000000111111001010100010100000010011000,214
284,1390,20226,00111110010000000111111001010100010100100010011000,214
290,1406,20497,00111110010000000111111001010100010100100010011000,214
314,1447,20768,00111110010000000111111001010100010100100010011000,214
323,1488,21040,00111110010000000111111001010100010100100010011000,214
336,1505,21309,00111110010000000111111001010100010100100010011000,214
346,1145,21583,00111110010000000111111001010100010100100010011000,214
359,1198,21852,00111110010000000111111001010100010100100010011000,214
384,1277,22118,00111110010000000111111001010100010100100010011000,214
406,1346,22386,00111110010000000111111001010100010100100010011000,214
