nstrings,nstates,duration_ms,fittest,fitness
1,51,210,11010100101110101000001001000101011011010000110011,187
74,448,2795,11010100101110100000000001000101011011010000110010,196
201,1213,5362,11010101101110100000011001000101011011010000000010,202
350,1729,7943,11010101101100100000011000000101011011010011100010,205
532,2034,10466,11010101001101100000010001000100011111010001101011,207
101,766,12950,11110101101100000000010101000100111011010001001111,210
630,2549,15322,11110101011101000000010101000000011011010011101111,211
1907,6039,17719,01110101011101000000010100000000111011010011101111,211
2821,7469,20120,01110101011101000000010100000000111011010011101111,211
717,3572,22616,11110101111101000000010100000010011011010011101110,212
843,2612,24971,01110101111101000000010100000010011001010011101110,213
1708,4421,27329,00110101111101000010010100000010110001011011101110,213
433,1786,29687,01110101111101000000010100000011010001010010101100,215
1485,4184,31960,00110101111101000000010100000011010001010010101100,215
2442,6660,34249,00110101011101000000010100000011010001010011101100,215
3847,9627,36765,00110101011101000000010100000011010000010011101100,215
1032,4683,39258,00110101011101001010010100000011010101010011101100,216
1312,5262,41653,00110101011101001010010100000011010101010011101100,216
355,2367,43998,01100001011101000000010100000011010001010010111100,217
825,3528,46421,01100001011101000000010100000011010001010010111100,217
1321,4622,48853,00110101010001000000010100000011010101010010111100,217
1701,3589,51371,00110101010001000000010100000011010101010010111100,217
674,3229,53804,00100001010101000000010100000011010101010010111100,218
