nstrings,nstates,duration_ms,fittest,fitness
1,51,211,10111111010010011001101111111110000011100001001010,185
9,100,2831,00111111010000011001101111111010000011100001001010,197
108,695,5252,00111111010000011101100111110010000011100001001010,204
68,514,7654,00111111010001011101100111110000000011101001001010,208
312,1590,10000,00111111010001011101100011110001000011101001001110,210
182,1043,12299,00110111010101011100100011110001000011101001001110,212
397,1572,14573,00101111011101011101100011010001000011101001001110,213
1004,3309,16876,00100111010101011100100011110001000011101001001110,213
1555,4680,19148,00100111010101011100100011110001000011101001001110,213
2026,6365,21390,00100111010101011100100011110001000011101001001110,213
605,2963,23681,00100111011101011100000001010001000011101001001110,214
910,4129,25919,00100111011101011100000001010001000011101001001110,214
1349,5482,28331,00100111010101011100000111110001000011101001011110,214
1591,7268,30632,00100111010101011100000111110001000011101001011110,214
1901,8463,32916,00100111010101011100000111110001000011101001011110,214
743,3513,35160,00100111010101011100000101100000000011101001011011,215
1190,4891,37441,00100111010101011100000101100000000011101001011011,215
1900,7054,39668,00100111010101011100000101100000000011101001011011,215
2717,8995,41923,00100111010101011100000101100000000011101001011011,215
3032,10146,44265,00100111010101011100000101100000000011101001011011,215
3467,11648,46612,00100111010101011100000101100000000011101001011011,215
4219,7497,49084,00000111010101111100000111110011010011101010011110,215
4618,9597,51434,00000111010101111100000111110011010011101010011110,215
5206,11696,53776,00000111010101111100000111110011010011101010011110,215
5932,13563,56136,00000111010101111100000111110011010011101010011110,215
6496,15535,58536,00000111010101111100000111110011010011101010011110,215
7107,18042,61057,00000111010101111100000111110011010011101010011110,215
7381,19387,63614,00000111010101111100000111110011010011101010011110,215
1649,8619,66047,00100111000101111100000101100010010011101011011111,216
2235,10385,68424,00100111000101011100000101100010010011101011011111,216
2758,12190,70784,00100111000101011100000101100010010011101011011111,216
3106,13480,73156,00100111000101011100000101100010010011101011011111,216
3469,14722,75510,00100111000101011100000101100010010011101011011111,216
3768,15632,77910,00100111000101011100000101100010010011101011011111,216
4110,16630,80323,00100111000101011100000101100010010011101011011111,216
689,4624,82678,01100111010101001100010101100011010011001001011111,217
1745,7044,84893,00100101010101001000010101100011010111001011011111,217
2079,8668,87313,00100101010101001000010101100011010111001011011111,217
2533,10203,89773,00100001010101000000010101100011000011011011111110,217
2988,12080,92259,00100001010101000000010101100011000011011011111110,217
3285,12913,94694,00100001010101000000010101100011000011011011111110,217
3904,8065,97119,00000101010101101000010101100011010111001011111110,217
4276,9866,99487,00000101010101101000010101100011010111001011111110,217
4818,12246,101841,00000101010101101000010101100011010111001011111110,217
5123,13606,104178,00000101010101101000010101100011010111001011111110,217
1009,6103,106502,00100101010101001010010100100011010111010011111100,218
