nstrings,nstates,duration_ms,fittest,fitness
1,51,240,11100001100000100011101010010101101101011011111011,192
11,128,2844,11100001000000100011101000110101101101011011111011,203
164,940,5527,11000001000000100011101100110101101101011011101011,207
200,1578,8125,11000000000000100011101100110101001101011010101011,210
221,1725,10788,11000000000000110011111100110101001101011011100001,212
222,1620,13318,11000000001000100011101100110101001101011010000001,214
128,1291,15729,11000000001000000011101100110101000101011010000001,215
262,1266,18164,11000000001000000011101100110101000101011110000001,216
566,2718,20726,11000000001000000011101100110101000101011110000001,216
997,4682,23329,11000000001000000011101100110101000101011110000001,216
1273,5697,25857,11000000001000000011101100110001000101011110000001,216
1683,6967,28294,01000100000000000011111100110101000101011110000001,216
1956,7935,30972,01000100000000000011111100110101000101011110000001,216
2455,9763,33604,01000100000000000011111100110101000101011110000001,216
2909,11286,36164,01000100000000000011111100110101000101011110000001,216
642,4306,38638,01000100000101010100101100110001000101011010001001,217
980,5374,41170,01000100000101010100101100110001000101011010001001,217
1137,6127,43693,01000100000101010100101100110001000101011010001001,217
1299,6842,46226,01000100000101010100101100110001000101011010001001,217
1437,7452,48692,01000100000101010100101100110001000101011010001001,217
1892,8611,51172,01000100000000000011101100111001001101011010000001,217
2034,5160,53853,01000100000000000011101100111001001101011010000001,217
2833,7342,56434,01000100000000000011101100111001001101011010000001,217
3307,8704,58936,01000100000000000011101100111001001101011010000001,217
3508,9597,61586,01000100000000000011101100111001001101011010000001,217
4377,11791,64118,01000100000000000011101100111001001101011010000001,217
5198,13712,66745,01000100000000000011101100111001001101011010000001,217
5353,14711,69531,01000100000000000011101100111001001101011010000001,217
5580,15729,72222,01000100000000000011101100111001001101011010000001,217
5806,17050,74883,01000100000000000011101100111001001101011010000001,217
6061,18399,77624,01000100000000000011101100111001001101011010000001,217
8348,21943,80310,01000100000000000011101100111001001101011010000001,217
9111,23498,83003,01000100000000000011101100111001001101011010000001,217
10129,27602,85830,01000100000000000011101100111001001101011010000001,217
10779,30277,88711,01000100000000000011101100111001001101011010000001,217
11307,32045,91707,01000100000000000011101100111001001101011010000001,217
3265,13442,94484,01010100000000001011111100111001001101111010000101,218
