nstrings,nstates,duration_ms,fittest,fitness
1,51,214,11111001111110111011100101111111010001010001000110,181
14,93,982,11111001111110101011110101111111010001010001000110,190
4,113,1773,11111000111100111011110101111111010101010001000110,196
49,331,2481,11111000111100111011110101111101000101010001000110,200
329,826,3251,11011000111100111011110101101011000101010001000110,202
434,1242,3958,11011000111100011011110101101011000101010001001110,203
405,1436,4671,11011000111100111011110101111011000101000011001110,204
111,861,5383,11111100111100111011010100101011000101000011000110,206
525,1450,6077,11011000111100111011110100101001000101000011000110,206
322,1510,6814,11011000110100111010110101101001000101000011100110,207
205,1302,7543,11011000110101111010110101101001000101000011110110,208
115,1027,8246,11011000110100111010110101101001000101000011111110,209
209,1057,8945,11011000110100111110110101101001000101000011111100,210
113,644,9655,11011100110100111110110100101001000101000011111100,211
254,1059,10402,11011100110100111110110100101001000101000011111100,211
397,1443,11075,11011100110101111110110101101001000101000011111100,211
504,1731,11761,11011000110100111110010101101001000101100011111100,211
651,2053,12445,11011000110100111110010101101001000101100011111100,211
771,2352,13139,11011000110100111110010101101001000101100011111100,211
928,2821,13837,11011000110100111110010101101001000101100011111100,211
1099,3248,14530,11011000110100111110010101101001000101100011111100,211
396,1170,15236,11011100110001010010010100101011000101100011111100,212
473,1560,15914,11011100110001010010010100101011000101100011111100,212
778,2168,16604,10011101110001000010010100101011000101100011111100,212
881,2624,17311,10011101110001000010010100101011000101100011111100,212
1048,3155,18015,10011101110001000010010100101011000101100011111100,212
1178,3563,18735,10011101110001000010010100101011000101100011111100,212
338,1743,19490,11001101110001010010010100101011000101100011111100,213
465,2085,20181,11001101110001010010010100101011000101100011111100,213
570,2505,20882,11001000110001010010010100101011010101100001111100,213
186,1250,21578,10101000110001010011010000101011010101100001111100,214
427,1705,22250,10001000110001010011010000101001010101100001111100,214
516,2051,22940,10001000110001010011010000101001010101100001111100,214
597,2332,23633,00101000110001010011010001111001010101100001111100,214
691,2576,24330,00101000110001010011010001111001010101100001111100,214
786,2839,25022,00101000110001010011010001111001010101100001111100,214
837,3095,25734,00101000110001010011010001111001010101100001111100,214
897,3274,26444,00101000110001010011010001111001010101100001111100,214
284,1618,27138,10101000110001010011010001111001010101000001111100,215
382,1803,27816,10101000110001010011010001111001010101000001111100,215
513,2076,28515,00101000110001110011010001011001010101000101111100,215
300,932,29203,10001000110001110011010001011001010101000101111100,216
390,1243,29889,00101010010001110011110001010001010101000101111100,216
169,838,30568,10001010010001110011110001010001010101000101111100,217
367,1341,31243,10001010010001110011110001010001010101000101111100,217
427,1802,31923,10001010010001110011110001010001010101000101111100,217
509,1977,32606,10001010010001000011110001010001010101000101111100,217
567,2331,33304,10001010010001000011110001010001010101000101111100,217
615,2520,33990,10001010010001000011110001010001010101000101111100,217
681,2742,34678,10001010010001000011110001010001010101000101111100,217
848,3059,35376,10001010010001000011110001010001010101000101111100,217
902,3223,36076,10001010010001000011110001010001010101000101111100,217
942,3369,36780,10001010010001000011110001010001010101000101111100,217
1022,3644,37486,10001010010001000011110001010001010101000101111100,217
1110,3973,38200,10001010010001000011110001010001010101000101111100,217
1181,4156,38912,10001010010001000011110001010001010101000101111100,217
1228,4335,39637,10001010010001000011110001010001010101000101111100,217
1263,4516,40362,10001010010001000011110001010001010101000101111100,217
1318,4687,41077,10001010010001000011110001010001010101000101111100,217
1350,4806,41807,10001010010001000011110001010001010101000101111100,217
1401,4972,42536,10001010010001000011110001010001010101000101111100,217
1491,3313,43282,10001010010001000011110001010001010101000101111100,217
1670,3770,43993,10001010010001000011110001010001010101000101111100,217
1889,4300,44713,10001010010001000011110001010001010101000101111100,217
1943,4554,45433,10001010010001000011110001010001010101000101111100,217
2023,5044,46161,10001010010001000011110001010001010101000101111100,217
2067,5223,46899,10001010010001000011110001010001010101000101111100,217
2121,5365,47634,10001010010001000011110001010001010101000101111100,217
2169,5545,48370,10001010010001000011110001010001010101000101111100,217
2213,5725,49096,10001010010001000011110001010001010101000101111100,217
2288,6012,49845,10001010010001000011110001010001010101000101111100,217
2378,6190,50576,10001010010001000011110001010001010101000101111100,217
2444,6468,51304,10001010010001000011110001010001010101000101111100,217
2510,6694,52059,10001010010001000011110001010001010101000101111100,217
2550,6947,52813,10001010010001000011110001010001010101000101111100,217
2586,7355,53579,10001010010001000011110001010001010101000101111100,217
2655,7610,54345,10001010010001000011110001010001010101000101111100,217
2793,8006,55117,10001010010001000011110001010001010101000101111100,217
2851,8087,55881,10001010010001000011110001010001010101000101111100,217
2977,8292,56650,10001010010001000011110001010001010101000101111100,217
3305,8906,57433,10001010010001000011110001010001010101000101111100,217
3450,6460,58235,10001010010001000011110001010001010101000101111100,217
3509,6990,58999,10001010010001000011110001010001010101000101111100,217
3548,7178,59766,10001010010001000011110001010001010101000101111100,217
3595,7384,60524,10001010010001000011110001010001010101000101111100,217
3675,7805,61297,10001010010001000011110001010001010101000101111100,217
3741,8268,62081,10001010010001000011110001010001010101000101111100,217
3847,8607,62889,10001010010001000011110001010001010101100101111100,217
3909,8885,63692,10001010010001000011110001010001010101100101111100,217
3949,9089,64479,10001010010001000011110001010001010101100101111100,217
4050,9300,65288,10001010010001000011110001010000010101000101111100,217
4111,9615,66111,10001010010001000011110001010000010101000101111100,217
4167,9981,66915,10001010010001000011110001010000010101000101111100,217
4231,10206,67712,10001010010001000011110001010000010101000101111100,217
4231,10287,68513,10001010010001000011110001010000010101000101111100,217
4276,10455,69303,10001010010001000011110001010000010101000101111100,217
4307,10694,70112,10001010010001000011110001010000010101000101111100,217
4334,10788,70920,10001010010001000011110001010000010101000101111100,217
4371,10992,71742,10001010010001000011110001010000010101000101111100,217
4416,11128,72557,10001010010001000011110001010000010101000101111100,217
4474,11319,73371,10001010010001000011110001010000010101000101111100,217
4569,8332,74222,10001010010001000011110001010000010101000101111100,217
4637,8602,75010,10001010010001000011110001010000010101000101111100,217
4685,9153,75794,10001010010001000011110001010000010101000101111100,217
4717,9384,76584,10001010010001000011110001010000010101000101111100,217
4889,10053,77388,10001010010001000011110001010000010101000101111100,217
4926,10341,78202,10001010010001000011110001010000010101000101111100,217
4986,10664,79023,10001010010001000011110001010000010101000101111100,217
5025,10962,79832,10001010010001000011110001010000010101000101111100,217
5072,11393,80651,10001010010001000011110001010000010101000101111100,217
5132,11671,81469,10001010010001000011110001010000010101000101111100,217
5215,11993,82297,10001010010001000011110001010000010101000101111100,217
5265,12367,83135,10001010010001000011110001010000010101000101111100,217
5335,12598,83974,10001010010001000011110001010000010101000101111100,217
5420,12701,84804,10001010010001000011110001010000010101000101111100,217
5575,13060,85641,10001010010001000011110001010000010101000101111100,217
5653,13273,86484,10001010010001000011110001010000010101000101111100,217
5750,13687,87333,10001010010001000011110001010000010101000101111100,217
