nstrings,nstates,duration_ms,fittest,fitness
1,51,210,01010101111110001000011001011110001100010000111001,194
545,1625,2620,01010011011110001000011001011110001100010000111001,201
32,220,4962,01010101000110001000011000011110001101010001111001,208
361,1904,7216,01010101000110001000011000111010001101011001111001,210
231,1105,9470,01011101000110001001011000011010011101000101111001,212
1348,3953,11731,01010101000110001001011000011010011101000101010001,212
2210,6106,14168,00010101000110001101011100011000011101000100111101,212
3131,8664,16582,00010101000110001101011100011000011101000100111101,212
962,4255,18996,01011101000110001001011000011100011101010101111101,213
1541,5947,21446,01011101000110001001011000011100011101010101111101,213
2328,8287,23862,01011101000110001101011100011010011101000101100001,213
367,2087,26344,01011101000010001010001000111110001101011101010101,215
639,3069,28832,01011101000010001010001000111110001101011101010101,215
874,3772,31258,01011101000010001010001000111110001101011101010101,215
234,1478,33661,01011101000010001011001000111110001101011111010001,216
799,2584,36003,01010101000010001001011000111110001101011011000001,216
479,2065,38340,01010101000010000001011000111110001101011011010001,217
1293,3715,40650,01010100000010001001011100111110001101011011000101,217
2395,6018,42966,01010100000010001001011100111110001101111011000101,217
2748,6789,45298,01010100000010001001011100111010001101011011000101,217
3248,8528,47742,01010100000010001001011100111010001101001011000101,217
3744,5919,50204,01010100000010001001011100111010001101001011000101,217
4187,7716,52591,01010100000000001001011100111010001101111011000101,217
5560,11176,54950,01010100000000001001011100111010001101011011000101,217
5686,12565,57387,01010100000000001001011100111010001101011011000101,217
6330,14416,59807,01010100000000001001011100111010001101011011000101,217
6502,16040,62317,01010100000000001001011100111010001101011011000101,217
7877,18603,64785,01010100000000001001011100111010001101011011000101,217
8319,19877,67390,01010100000000001001011100111010001101011011000101,217
2248,8870,69864,01010111000100001101111100111100001101011000100101,218
