nstrings,nstates,duration_ms,fittest,fitness
1,51,210,01110010111100101010010100001101100111000110000011,194
2,75,496,01110010111100101010010100001101100111000110000010,198
29,124,768,01110010111100101010010101001101100111000110000010,200
13,183,1044,01110010111100001010010100001101100111001110000010,202
40,249,1321,01110010111100001010010100001101100111001110000010,202
63,288,1598,01110010111100001010010100001101100111000110000110,202
31,322,1872,01100010111100001010010100001101100111001110000010,203
19,349,2153,01110010111100001010010101001101100111000110000110,204
11,171,2441,01100010111100001010010101001101100111000110000110,206
10,109,2750,01100011111100001010010101001101100111000110000110,208
11,96,3031,01100011101100001010010101001101100111000110000110,209
31,180,3298,01100011101100101010010101001001100111000010000110,209
51,223,3570,01100011101100101010010101001001100111000010000110,209
36,238,3842,01100011111100001010010101001101100111001110000110,210
28,191,4114,01100111111100001010010101001101100111001110000110,211
46,302,4386,01100111111100001010010101001101100111001110000110,211
26,208,4662,01100111111100001010010101001101100011001110001110,212
42,231,4933,01100111111100001010010101001101000011001110001110,212
22,218,5207,01100111111100001010010101001101100011001111001110,213
39,267,5486,01100111111100001010010101001101100011001110000110,213
52,276,5760,01100111111100001010010101001101000011001111001110,213
64,239,6033,01100111111100001010010101001101000011001111001110,213
64,253,6306,01100111111100001010010101001101000011001111001110,213
75,310,6585,01100111111100001010010101001101000011001111001110,213
88,364,6858,00100111111100001010010101001101000011001111001110,213
101,418,7131,00100111111100001010010101001101000011001111001110,213
117,430,7406,00100111111100001010010101001101000011001111001110,213
128,463,7680,00100111111100001010010101001101000011001111001110,213
136,514,7956,00100111111100001010010101001101000011001111001110,213
151,576,8232,00100111111100001010010101001101000011001111001110,213
161,599,8508,00100111111100001010010101001101000011001111001110,213
172,645,8782,00100111111100001010010101001101000011001111001110,213
54,487,9079,01100111111100001000010101001101110011001111001110,214
76,533,9360,01100111111100001000010101001101110011001111000110,214
98,566,9642,01100111111100001000010101000101110011001111000110,214
110,577,9936,01100111111100001000010101000101110011001111000110,214
121,636,10260,01100111111100001000010101000101110011001111000110,214
146,696,10579,01100111111100001000010101000101110011001111000110,214
156,744,10887,01100111111100001000010101000101110011001111000110,214
170,791,11166,01100111111100001000010101000101110011001111000110,214
205,915,11445,01100111111100001000010101000101110011001111000110,214
241,833,11730,01100111101100001010010101001101100001001110000110,214
267,884,12036,01100111101100001010010101001101100001001110000110,214
279,1022,12358,01100111101100001010010101001101100001001110000110,214
314,1057,12645,01100111101100001010010101000101100001001110000110,214
334,1103,12946,01100111101100001010010101000101100001001110000110,214
347,1157,13232,01100111101100001010010101000101100001001110000110,214
358,1328,13555,01100111101100001010010101000101100001001110000110,214
380,1378,13880,01100111101100001010010101000101100001001110000110,214
391,1472,14170,01100111101100001010010101000101100001001110000110,214
405,1566,14455,00100111111100001010010101001001000011001111001110,214
425,1614,14745,00100111111100001010010101001001000011001111001110,214
435,1651,15067,00100111111100001010010101001001000011001111001110,214
448,1685,15389,00100111111100001010010101001001000011001111001110,214
459,1800,15680,00100111111100001010010101001001000011001111001110,214
467,1840,15971,00100111111100001010010101001001000011001111001110,214
208,1333,16263,11100011101100000010010101000101100001001110000110,215
220,1352,16551,11100011101100000010010101000101100001001110000110,215
230,1373,16839,11100011101100000010010101000101100001001110000110,215
241,1377,17133,11100011101100000010010101000101100001001110000110,215
253,1402,17419,11100011101100000010010101000101100001001110000110,215
267,994,17714,11100011101100000010010101000101100001001110000110,215
288,1032,18026,11100011101100000010010101000101100001001110000110,215
309,1093,18308,01100111111100001000110101001101110001001101001110,215
323,1146,18632,01100111111100001000110101001101110001001101001110,215
332,1180,18941,01100111111100001000110101001101110001001101001110,215
343,1265,19224,01100111111100001000110101001101110001001101001110,215
357,1351,19536,01100111111100001000110101001101110001001101001110,215
366,1380,19859,01100111111100001000110101001101110001001101001110,215
378,1458,20147,01100111111100001000110101001101110001001101001110,215
388,1515,20435,01100111111100001000110101001101110001001101001110,215
396,1515,20722,01100111111100001000110101001101110001001101001110,215
403,1551,21012,01100111111100001000110101001101110001001101001110,215
414,1566,21301,01100111111100001000110101001101110001001101001110,215
421,1592,21596,01100111111100001000110101001101110001001101001110,215
436,1668,21883,01100111111100001000110101001101110001001101001110,215
459,1710,22173,01100111101110001100010101001101110011001111001110,215
471,1743,22460,01100111101110001100010101001101110011001111001110,215
482,1770,22748,01100111101110001100010101001101110011001111001110,215
490,1796,23071,01100111101110001100010101001101110011001111001110,215
496,1914,23410,01100111101110001100010101001101110011001111001110,215
506,1616,23729,01100111101110001100010101001101110011001111001110,215
518,1691,24052,01100111101110001100010101001101110011001111001110,215
518,1728,24387,01100111101110001100010101001101110011001111001110,215
542,1761,24729,01100111101110001100010101001101110011001111001110,215
548,1792,25035,01100111101110001100010101001101110011001111001110,215
558,1898,25333,01100111101110001100010101001101110011001111001110,215
580,1985,25629,01100111101110001100010101001001110011001111001110,215
600,2028,25919,01100111101110001100010101001001110011001111001110,215
620,2068,26211,01100111101110001000010101001101100001001110000110,215
633,2146,26531,01100111101110001000010101001101100001001110000110,215
645,2205,26867,01100111101110001000010101001101100001001110000110,215
658,2273,27162,01100111101110001000010101001101100001001110000110,215
668,2311,27484,01100111101110001000010101001101100001001110000110,215
690,2335,27827,01100111101110001000010101001101100001001110000110,215
700,2377,28125,01100111101110001000010101001101100001001110000110,215
711,2378,28424,01100111101110001000010101001101100001001110000110,215
715,2377,28728,01100111101110001000010101001101100001001110000110,215
723,2418,29064,01100111101110001000010101001101100001001110000110,215
733,2462,29405,01100111101110001000010101001101100001001110000110,215
742,2509,29705,01100111101110001000010101001101100001001110000110,215
761,2197,30010,00100111101110001010010101000001100011001110000110,215
781,2242,30309,00100111101110001010010101000001100011001110000110,215
790,2304,30603,00100111101110001010010101000001100011001110000110,215
808,2355,30902,00100111101110001010010101000001100011001110000110,215
826,2359,31202,00100111101110001010010101000001100011001110000110,215
826,2428,31537,00100111101110001010010101000001100011001110000110,215
839,2506,31872,00100111101110001010010101000001100011001110000110,215
848,2562,32177,00100111101110001010010101000001100011001110000110,215
856,2621,32485,00100111101110001010010101000001100011001110000110,215
878,2665,32789,00100111101110001010010101000001100011001110000110,215
886,2770,33097,00100111101110001010010101000001100011001110000110,215
907,2906,33412,00100111101110001010010101000001100011001110000110,215
