nstrings,nstates,duration_ms,fittest,fitness
1,51,200,01110001100101000001000101110001110001100111010011,189
249,1001,13101,01110001000101000001000101110001110001101110010111,202
182,1415,25746,01100001101100000001010101110001110001001110010111,210
103,688,38495,01100001101100000001010111010101110001001110010110,215
1226,2713,51469,01100011101100001001010111010101111001001110000110,216
2944,8303,64000,01100011101100001001010111010101111001001110000110,216
4197,11236,77527,01100011101100000001010101011101111001001110000110,216
5178,14388,90666,00100011101100001001010101011001111001001110000110,216
1027,4911,103522,01100011101000011001010111010101111011001111010110,217
1227,5913,116313,01100011101000011001010111010101111011001111010110,217
1763,7281,129076,01100011101000011001010111010101111011001111010110,217
2796,10240,143061,01100011101000011001010111010101111011001111010110,217
3148,11723,156918,01100011101000011001010111010101111011001111010110,217
3372,13492,170390,01100011101000011001010111010101111011001111010110,217
3915,14928,184326,01100011101000011001010111010101111011001111010110,217
4021,16109,197673,01100011101000011001010111010101111011001111010110,217
4530,19215,211850,01100011101000010001010101011101110001001110000110,217
4817,20981,225487,01100011101000010001010101011101110001001110000110,217
5073,21843,239656,01100011101000010001010101011101110001001110000110,217
5619,24417,253217,01100011101000010001010101011101011001001110000110,217
5676,25745,267137,01100011101000010001010101011101111001001110000110,217
5865,9319,280566,01100011101000010001010101011101011001001110000110,217
5889,10346,293985,01000011101000010001010101011101000001001110000110,217
6032,12751,307215,01000011101000010001010101011101000001001110000110,217
8098,18978,320238,01000011101000010001010101011101000001001110000110,217
8388,21812,333772,01000011101000010001010101011101000001001110000110,217
8777,23344,347163,01000011101000010001010101011101000001001110000110,217
8836,24504,360745,01000011101000010001010101011101000001001110000110,217
8902,26127,374778,01000011101000010001010101011101000001001110000110,217
9005,27339,388493,01000011101000010001010101011101000001001110000110,217
9450,28719,401826,01000011101000010001010101011101000001001110000110,217
10036,33144,416069,01000011101000010001010101011101000001001110000110,217
10335,35071,430249,01000011101000010001010101011101000001001110000110,217
10708,36255,444310,01000011101000010001010101011101000001001110000110,217
10786,37861,457399,01000011101000010001010101011101000001001110000110,217
11996,39952,471826,00100011101000000001010101011001111001001110000110,217
13207,43206,486111,00100011101000000001010101011001111001001110000110,217
13457,44065,499074,00100011101000000001010101011001111001001110000110,217
13524,45064,513920,00100011101000000001010101011001111001001110000110,217
14829,48663,527671,00100011101000000001010101011001011001001110000110,217
15355,49849,542221,00100011101000000001010101011001011001001110000110,217
15751,17876,556128,00100011101000000001010101011001011001001010000110,217
15971,19256,568673,00100011101000000000010101010001011001001010000110,217
16023,21004,582562,00100011101000000000010101010001011001001010000110,217
16065,23071,596097,00100011101000000000010101010001011001001010000110,217
16140,25506,609622,00100011101000000000010101010001011001001010000110,217
