nstrings,nstates,duration_ms,fittest,fitness
1,51,214,00011001000100100111001000011001000001101111111000,185
9,128,2639,00011001000101100111000000011001000001101111111100,198
310,1472,4982,00010001000101100111000010001001000011101111111000,204
78,698,7395,00010001000101100111010010001001000010101011111000,209
125,698,9766,00010101000101100110010010001001000010101011111100,212
404,1540,12065,00010101000001100111010010000001010010101011111100,213
940,2941,14404,00010101000001100111010010000001010010101011111100,213
253,1667,16708,00010101010001100110010010000001010011101011111100,214
565,2879,19022,00010101010101100110010010100001010011100011111100,214
1226,4264,21300,00010101010101100110010010100001010011100011111100,214
1650,5417,23642,00010101010101100110010010100001010011100011111100,214
501,2420,26002,00010101010001100010010010100011010111000011111100,215
179,1082,28284,00110101010001100010010010100011010111000011111100,216
441,2111,30480,00110101010001100010010010100011010111000011111100,216
637,2786,32716,00110101010001100010010010100011010111000011111100,216
955,3920,34936,00110101010001100010010010100011010111000011111100,216
1147,4635,37153,00110101010001100010010010100011010111000011111100,216
1545,5796,39370,00110101010001100010010010100011010111000011111100,216
427,2356,41691,00100001000101000010010000100011010011011011111100,217
843,3435,43932,00110001010001000000010000100011010111010011111100,217
551,2157,46180,00100001010101000010010000100011010111010011111100,218
