step,duration_ms,fittest,fitness
0,1,166321,195
25000000,11319,1774537116,214
50000000,22596,1774537116,214
75000000,33873,1774537116,214
100000000,45152,1774537116,214
125000000,56672,1774537116,214
150000000,67974,1774537116,214
175000000,79579,1774537116,214
200000000,91248,1774537116,214
225000000,102777,1774537116,214
250000000,114209,1774537116,214
275000000,125720,1774537116,214
300000000,137354,1774537116,214
325000000,149041,1774537116,214
350000000,160452,1774537116,214
375000000,172209,1774537116,214
400000000,183788,1774537116,214
425000000,195412,1774537116,214
450000000,206786,1774537116,214
475000000,218359,1774537116,214
500000000,229891,1774537116,214
525000000,241429,1774537116,214
550000000,252900,1774537116,214
575000000,264644,1774537116,214
600000000,276245,1774537116,214
625000000,287826,1774537116,214
650000000,299367,1774537116,214
675000000,311141,1774537116,214
700000000,322768,1774537116,214
725000000,334335,1774537116,214
750000000,345918,1774537116,214
775000000,357517,1774537116,214
800000000,369307,1774537116,214
825000000,381262,1774537116,214
850000000,392945,1774537116,214
875000000,404855,1774537116,214
900000000,416464,1774537116,214
925000000,428208,1774537116,214
950000000,440034,1774537116,214
975000000,451648,1774537116,214
1000000000,463445,1774537116,214
1025000000,475418,1774537116,214
1050000000,487459,1774537116,214
1075000000,499230,1774537116,214
1100000000,511039,1774537116,214
1125000000,523062,1774537116,214
1150000000,534728,1774537116,214
1175000000,546302,1774537116,214
1200000000,558008,1774537116,214
1225000000,569810,1774537116,214
1250000000,581790,1774537116,214
1275000000,593269,1774537116,214
1300000000,604689,1774537116,214
