step,duration_ms,fittest,fitness
0,2,42605,191
25000000,13464,1774537116,214
50000000,26960,1774537116,214
75000000,40403,1774537116,214
100000000,53883,1774537116,214
125000000,67177,1774537116,214
150000000,80551,1774537116,214
175000000,93988,1774537116,214
200000000,107380,1774537116,214
225000000,120839,1774537116,214
250000000,134264,1774537116,214
275000000,147810,1774537116,214
300000000,161241,1774537116,214
325000000,174610,1774537116,214
350000000,188154,1774537116,214
375000000,201527,1774537116,214
400000000,215229,1774537116,214
425000000,228848,1774537116,214
450000000,242533,1774537116,214
475000000,255994,1774537116,214
500000000,269504,1774537116,214
525000000,283134,1774537116,214
550000000,296667,1774537116,214
575000000,310478,1774537116,214
600000000,323988,1774537116,214
625000000,338206,1774537116,214
650000000,352058,1774537116,214
675000000,365767,1774537116,214
700000000,379557,1774537116,214
725000000,393320,1774537116,214
750000000,407293,1774537116,214
775000000,420933,1774537116,214
800000000,434480,1774537116,214
825000000,448131,1774537116,214
850000000,461772,1774537116,214
875000000,475524,1774537116,214
900000000,489340,1774537116,214
925000000,503069,1774537116,214
950000000,516675,1774537116,214
975000000,530075,1774537116,214
1000000000,543958,1774537116,214
1025000000,558102,1774537116,214
1050000000,572115,1774537116,214
1075000000,586032,1774537116,214
1100000000,599949,1774537116,214
1125000000,613739,1774537116,214
