step,duration_ms,fittest,fitness
0,2,135037,185
25000000,9470,18446744073173185601,212
50000000,18863,18446744073173185601,212
75000000,28189,18446744073307397209,212
100000000,37582,18446744073307397209,212
125000000,46909,18446744073173185601,212
150000000,56453,18446744073173185601,212
175000000,65714,18446744073307397209,212
200000000,74974,18446744073173185601,212
225000000,84235,18446744073307397209,212
250000000,93495,18446744073307397209,212
275000000,102755,18446744073173185601,212
300000000,112606,18446744073173185601,212
325000000,122354,18446744073173185601,212
350000000,131745,18446744073173185601,212
375000000,141001,18446744073173185601,212
400000000,150257,18446744073173185601,212
425000000,159924,18446744073173185601,212
450000000,169859,18446744073173185601,212
475000000,179314,18446744073173185601,212
500000000,188967,18446744073173185601,212
525000000,198678,18446744073173185601,212
550000000,208548,18446744073307397209,212
575000000,218413,18446744073307397209,212
600000000,228050,18446744073173185601,212
625000000,237705,18446744073173185601,212
650000000,247339,18446744073173185601,212
675000000,256891,18446744073307397209,212
700000000,266474,18446744073307397209,212
725000000,275937,18446744073307397209,212
750000000,285513,18446744073307397209,212
775000000,294972,18446744073173185601,212
800000000,304546,18446744073307397209,212
825000000,314208,18446744073307397209,212
850000000,323941,18446744073173185601,212
875000000,333653,18446744073173185601,212
900000000,343331,18446744073307397209,212
925000000,352980,18446744073173185601,212
950000000,362689,18446744073173185601,212
975000000,372232,18446744073307397209,212
1000000000,381853,18446744073173185601,212
1025000000,391290,18446744073307397209,212
1050000000,400701,18446744073307397209,212
1075000000,410110,18446744073307397209,212
1100000000,419700,18446744073307397209,212
1125000000,429247,18446744073307397209,212
1150000000,438678,18446744073307397209,212
1175000000,448400,18446744073307397209,212
1200000000,458284,18446744073307397209,212
1225000000,467882,18446744073307397209,212
1250000000,477399,18446744073307397209,212
1275000000,486737,18446744073307397209,212
1300000000,496253,18446744073307397209,212
1325000000,505897,18446744073307397209,212
1350000000,515347,18446744073173185601,212
1375000000,524745,18446744073173185601,212
1400000000,534255,18446744073173185601,212
1425000000,543848,18446744073173185601,212
1450000000,553442,18446744073173185601,212
1475000000,562880,18446744073173185601,212
1500000000,572272,18446744073173185601,212
1525000000,581530,18446744073307397209,212
1550000000,591084,18446744073307397209,212
1575000000,600738,18446744073307397209,212
