step,duration_ms,fittest,fitness
0,2,114314,177
25000000,13676,1774537116,214
50000000,27110,1774537116,214
75000000,40539,1774537116,214
100000000,54040,1774537116,214
125000000,67353,1774537116,214
150000000,80748,1774537116,214
175000000,94249,1774537116,214
200000000,107617,1774537116,214
225000000,121096,1774537116,214
250000000,134427,1774537116,214
275000000,147829,1774537116,214
300000000,161161,1774537116,214
325000000,174497,1774537116,214
350000000,187769,1774537116,214
375000000,201164,1774537116,214
400000000,214521,1774537116,214
425000000,227809,1774537116,214
450000000,241148,1774537116,214
475000000,254800,1774537116,214
500000000,268309,1774537116,214
525000000,281577,1774537116,214
550000000,295308,1774537116,214
575000000,308607,1774537116,214
600000000,321985,1774537116,214
625000000,335218,1774537116,214
650000000,348509,1774537116,214
675000000,361746,1774537116,214
700000000,374981,1774537116,214
725000000,388394,1774537116,214
750000000,401637,1774537116,214
775000000,415004,1774537116,214
800000000,428239,1774537116,214
825000000,441489,1774537116,214
850000000,454726,1774537116,214
875000000,468030,1774537116,214
900000000,481268,1774537116,214
925000000,494636,1774537116,214
950000000,507887,1774537116,214
975000000,521343,1774537116,214
1000000000,534684,1774537116,214
1025000000,547910,1774537116,214
1050000000,561306,1774537116,214
1075000000,574658,1774537116,214
1100000000,587887,1774537116,214
1125000000,601203,1774537116,214
