step,duration_ms,fittest,fitness
0,1,78815,198
25000000,12415,18446744071636273052,214
50000000,24846,18446744072710014876,214
75000000,37277,18446744072710014876,214
100000000,49707,18446744071636273052,214
125000000,62134,18446744072710014876,214
150000000,74562,18446744071636273052,214
175000000,86989,18446744072710014876,214
200000000,99419,18446744071636273052,214
225000000,111863,18446744072710014876,214
250000000,124290,18446744071636273052,214
275000000,136720,18446744072710014876,214
300000000,149148,18446744072710014620,214
325000000,161578,18446744072710014876,214
350000000,174028,18446744071636273052,214
375000000,186458,18446744072710014620,214
400000000,198891,18446744071636272796,214
425000000,211321,18446744072978450076,214
450000000,223749,18446744071636273052,214
475000000,236178,18446744072710014876,214
500000000,248607,18446744072710014876,214
525000000,261054,18446744072710014620,214
550000000,273484,18446744071636272796,214
575000000,285914,18446744072710014876,214
600000000,298342,18446744072710014876,214
625000000,310771,18446744071636272796,214
650000000,323200,18446744071636272796,214
675000000,335629,18446744072710014876,214
700000000,348057,18446744072710014876,214
725000000,360486,18446744071636272796,214
750000000,372913,18446744072710014876,214
775000000,385338,18446744071636273052,214
800000000,397762,18446744072978450076,214
825000000,410208,18446744072710014876,214
850000000,422639,18446744071636273052,214
875000000,435069,18446744072978450076,214
900000000,447499,18446744071636272796,214
925000000,459930,18446744071636273052,214
950000000,472379,18446744071636273052,214
975000000,484810,18446744072710014876,214
1000000000,497241,18446744071636273052,214
1025000000,509671,18446744071636273052,214
1050000000,522103,18446744071636273052,214
1075000000,534531,18446744071636273052,214
1100000000,546960,18446744072710014876,214
1125000000,559407,18446744072710014876,214
1150000000,571841,18446744071636273052,214
1175000000,584273,18446744071636273052,214
1200000000,596707,18446744072710014876,214
1225000000,609163,18446744072710014876,214
