step,duration_ms,fittest,fitness
0,2,26430,186
25000000,13809,2016643420,211
50000000,27030,1899743327,211
75000000,40252,1899743327,211
100000000,53917,2016643420,211
125000000,67442,1748207948,211
150000000,81101,2016643404,211
175000000,94797,2016643404,211
200000000,108534,2033961053,211
225000000,122331,2033961053,211
250000000,135893,2016643404,211
275000000,149543,2033961053,211
300000000,163075,2033961053,211
325000000,176537,2033961053,211
350000000,189999,2033961053,211
375000000,203561,1748207948,211
400000000,217220,18446744073307397209,212
425000000,230898,18446744073173185601,212
450000000,244495,18446744073307397209,212
475000000,258111,18446744073173185601,212
500000000,271464,18446744073307397209,212
525000000,285113,18446744073307397209,212
550000000,298885,18446744073173185601,212
575000000,312569,18446744073173185601,212
600000000,325963,18446744073173185601,212
625000000,339356,18446744073173185601,212
650000000,352933,18446744073173185601,212
675000000,366686,18446744073173185601,212
700000000,380558,18446744073307397209,212
725000000,394005,18446744073173185601,212
750000000,407814,18446744073173185601,212
775000000,421123,18446744073173185601,212
800000000,434365,18446744073173185601,212
825000000,447784,18446744073173185601,212
850000000,461490,18446744073173185601,212
875000000,474802,18446744073173185601,212
900000000,488114,18446744073173185601,212
925000000,501557,18446744073307397209,212
950000000,514960,18446744073173185601,212
975000000,528205,18446744073173185601,212
1000000000,541453,18446744073307397209,212
1025000000,555055,18446744073307397209,212
1050000000,568599,18446744073307397209,212
1075000000,581842,18446744073173185601,212
1100000000,595724,18446744073307397209,212
1125000000,609421,18446744073307397209,212
