step,duration_ms,fittest,fitness
0,2,170466,190
25000000,13205,18446744073218222496,211
50000000,26409,18446744073323078560,211
75000000,39900,18446744073322816416,211
100000000,53328,18446744073322816416,211
125000000,66715,18446744073356632992,211
150000000,79926,18446744073352438688,211
175000000,93357,18446744073339593632,211
200000000,106561,2029700140,211
225000000,119847,1777525804,211
250000000,133212,2029184044,211
275000000,146418,1778050092,211
300000000,159927,2029184044,211
325000000,173458,1760748588,211
350000000,186758,1509090348,211
375000000,200040,2029708332,211
400000000,213452,1240654892,211
425000000,226851,2029708332,211
450000000,240246,2029184044,211
475000000,253453,2029184044,211
500000000,266780,2029700140,211
525000000,280132,2029175852,211
550000000,293340,2029700140,211
575000000,306643,1760716844,211
600000000,319874,2029700140,211
625000000,333300,2029184044,211
650000000,346715,1778050092,211
675000000,360090,1778050092,211
700000000,373412,2045961260,211
725000000,386749,1509090348,211
750000000,400128,1240654892,211
775000000,413492,2029175852,211
800000000,426698,2029708332,211
825000000,439998,2029175852,211
850000000,453277,2045961260,211
875000000,466511,2029184044,211
900000000,479782,1777525804,211
925000000,493195,1760716844,211
950000000,506238,18446744073218222496,211
975000000,519037,18446744073218222496,211
1000000000,531841,18446744073352438688,211
1025000000,544656,18446744073352438688,211
1050000000,557461,18446744073339593632,211
1075000000,570031,18446744073323078560,211
1100000000,582496,18446744073352438688,211
1125000000,594954,18446744073218223008,211
1150000000,607378,18446744073322816416,211
