step,duration_ms,fittest,fitness
0,2,27634,197
25000000,13568,1774537116,214
50000000,27171,1774537116,214
75000000,40466,1774537116,214
100000000,53998,1774537116,214
125000000,67419,1774537116,214
150000000,80846,1774537116,214
175000000,94225,1774537116,214
200000000,107635,1774537116,214
225000000,121090,1774537116,214
250000000,134321,1774537116,214
275000000,147723,1774537116,214
300000000,161056,1774537116,214
325000000,174392,1774537116,214
350000000,187661,1774537116,214
375000000,201052,1774537116,214
400000000,214407,1774537116,214
425000000,227679,1774537116,214
450000000,240962,1774537116,214
475000000,254653,1774537116,214
500000000,268214,1774537116,214
525000000,281483,1774537116,214
550000000,295222,1774537116,214
575000000,308455,1774537116,214
600000000,321902,1774537116,214
625000000,335137,1774537116,214
650000000,348374,1774537116,214
675000000,361671,1774537116,214
700000000,374913,1774537116,214
725000000,388331,1774537116,214
750000000,401569,1774537116,214
775000000,414883,1774537116,214
800000000,428188,1774537116,214
825000000,441443,1774537116,214
850000000,454683,1774537116,214
875000000,467926,1774537116,214
900000000,481234,1774537116,214
925000000,494607,1774537116,214
950000000,507862,1774537116,214
975000000,521111,1774537116,214
1000000000,534668,1774537116,214
1025000000,547901,1774537116,214
1050000000,561280,1774537116,214
1075000000,574655,1774537116,214
1100000000,587885,1774537116,214
1125000000,601136,1774537116,214
