step,duration_ms,fittest,fitness
0,1,21621,194
25000000,12391,1021958657,213
50000000,24813,18446744072584026625,213
75000000,37240,1021956609,213
100000000,49662,18446744072584026625,213
125000000,62081,1021958657,213
150000000,74500,18446744072584024577,213
175000000,86924,1021956609,213
200000000,99362,18446744072584026625,213
225000000,111786,18446744072584026625,213
250000000,124214,18446744072584026625,213
275000000,136647,1021956609,213
300000000,149077,18446744072584026625,213
325000000,161518,18446744072584024577,213
350000000,173951,1021956609,213
375000000,186382,1021958657,213
400000000,198811,18446744072584024577,213
425000000,211257,18446744072584026625,213
450000000,223729,18446744072584024577,213
475000000,236160,1021956609,213
500000000,248589,1021958657,213
525000000,261031,1021956609,213
550000000,273461,18446744072584024577,213
575000000,285891,1021956609,213
600000000,298321,1021958657,213
625000000,310749,18446744072584024577,213
650000000,323183,18446744072584024577,213
675000000,335614,1021956609,213
700000000,348042,1021956609,213
725000000,360472,18446744072584026625,213
750000000,372899,1021956609,213
775000000,385326,1021958657,213
800000000,397756,1021958657,213
825000000,410197,18446744072584026625,213
850000000,422629,18446744072584024577,213
875000000,435061,18446744072584026625,213
900000000,447492,1021958657,213
925000000,459928,1021956609,213
950000000,472362,18446744072584026625,213
975000000,484790,1021958657,213
1000000000,497219,18446744072584024577,213
1025000000,509646,1021956609,213
1050000000,522075,18446744072584026625,213
1075000000,534503,1021956609,213
1100000000,546931,18446744072584026625,213
1125000000,559371,18446744072584026625,213
1150000000,571800,18446744072584026625,213
1175000000,584229,1021958657,213
1200000000,596658,18446744072584024577,213
1225000000,609086,18446744072584024577,213
