step,duration_ms,fittest,fitness
0,2,213910,186
25000000,12424,1021958657,213
50000000,24909,18446744072584024577,213
75000000,37365,18446744072584024577,213
100000000,49856,18446744072584024577,213
125000000,62315,18446744072584026625,213
150000000,74797,1021956609,213
175000000,87258,18446744072584024577,213
200000000,99742,18446744072584026625,213
225000000,112206,1021958657,213
250000000,124668,18446744072584026625,213
275000000,137119,18446744072584026625,213
300000000,149590,18446744072584024577,213
325000000,162047,1021956609,213
350000000,174576,18446744072584026625,213
375000000,187052,18446744072584024577,213
400000000,199515,18446744072584026625,213
425000000,211981,1021958657,213
450000000,224478,1021958657,213
475000000,236988,1021958657,213
500000000,249445,1021956609,213
525000000,261924,1021958657,213
550000000,274385,18446744072584026625,213
575000000,286850,18446744072584026625,213
600000000,299309,18446744072584024577,213
625000000,311777,1021958657,213
650000000,324231,18446744072584026625,213
675000000,336695,18446744072584026625,213
700000000,349145,1021958657,213
725000000,361614,18446744072584026625,213
750000000,374063,18446744072584026625,213
775000000,386524,1021956609,213
800000000,398976,1021958657,213
825000000,411455,1021958657,213
850000000,423909,1021956609,213
875000000,436387,1021958657,213
900000000,448843,18446744072584026625,213
925000000,461296,1021956609,213
950000000,473785,18446744072584026625,213
975000000,486236,18446744072584024577,213
1000000000,498692,18446744072584026625,213
1025000000,511140,18446744072584024577,213
1050000000,523594,18446744072584024577,213
1075000000,536039,1021958657,213
1100000000,548497,18446744072584024577,213
1125000000,560958,1021956609,213
1150000000,573421,18446744072584024577,213
1175000000,585866,18446744072584024577,213
1200000000,598324,1021958657,213
1225000000,610813,1021958657,213
