step,duration_ms,fittest,fitness
0,2,155035,187
25000000,12452,18446744072710014876,214
50000000,24977,18446744071636272796,214
75000000,37482,18446744071636272796,214
100000000,50003,18446744072710014876,214
125000000,62511,18446744072710014876,214
150000000,75038,18446744071636272796,214
175000000,87538,18446744072978450076,214
200000000,100064,18446744072710014876,214
225000000,112570,18446744072710014620,214
250000000,125110,18446744072710014876,214
275000000,137619,18446744072710014620,214
300000000,150158,18446744072978450076,214
325000000,162673,18446744071636272796,214
350000000,175203,18446744071636273052,214
375000000,187824,18446744071636272796,214
400000000,200388,18446744071636273052,214
425000000,212897,18446744071636273052,214
450000000,225436,18446744072710014620,214
475000000,237950,18446744072710014876,214
500000000,250488,18446744072978450076,214
525000000,263005,18446744072710014620,214
550000000,275548,18446744072710014876,214
575000000,288082,18446744072710014876,214
600000000,300593,18446744071636273052,214
625000000,313125,18446744072710014876,214
650000000,325644,18446744072978450076,214
675000000,338172,18446744071636272796,214
700000000,350685,18446744071636273052,214
725000000,363216,18446744072710014620,214
750000000,375728,18446744071636272796,214
775000000,388268,18446744071636272796,214
800000000,400785,18446744072978450076,214
825000000,413319,18446744071636273052,214
850000000,425836,18446744071636272796,214
875000000,438377,18446744072710014876,214
900000000,450897,18446744072710014620,214
925000000,463439,18446744071636272796,214
950000000,475949,18446744072978450076,214
975000000,488485,18446744072710014620,214
1000000000,500930,18446744072710014876,214
1025000000,513425,18446744072710014620,214
1050000000,525892,18446744072978450076,214
1075000000,538333,18446744071636272796,214
1100000000,550784,18446744071636272796,214
1125000000,563224,18446744072710014620,214
1150000000,575691,18446744072710014876,214
1175000000,588132,18446744072978450076,214
1200000000,600577,18446744071636272796,214
