step,duration_ms,fittest,fitness
0,2,173238,192
25000000,9516,18446744071636272796,214
50000000,18901,18446744072978450076,214
75000000,28315,18446744072710014620,214
100000000,37573,18446744072710014620,214
125000000,46830,18446744071636272796,214
150000000,56106,18446744072710014620,214
175000000,65364,18446744071636273052,214
200000000,74622,18446744072710014876,214
225000000,84095,18446744072978450076,214
250000000,93356,18446744072978450076,214
275000000,102705,18446744072710014876,214
300000000,112032,18446744072710014876,214
325000000,121393,18446744072710014876,214
350000000,130652,18446744072978450076,214
375000000,139977,18446744072978450076,214
400000000,149236,18446744071636272796,214
425000000,158495,18446744072710014876,214
450000000,167821,18446744071636273052,214
475000000,177080,18446744071636272796,214
500000000,186340,18446744072710014876,214
525000000,195818,18446744072978450076,214
550000000,205146,18446744071636272796,214
575000000,214410,18446744071636272796,214
600000000,223671,18446744072710014620,214
625000000,232933,18446744072710014620,214
650000000,242194,18446744072710014876,214
675000000,251456,18446744071636272796,214
700000000,260785,18446744071636273052,214
725000000,270114,18446744071636273052,214
750000000,279376,18446744072710014876,214
775000000,288640,18446744071636272796,214
800000000,298075,18446744072710014876,214
825000000,307339,18446744072710014620,214
850000000,316659,18446744072710014620,214
875000000,325742,18446744072710014876,214
900000000,335078,18446744072978450076,214
925000000,344348,18446744072710014620,214
950000000,353684,18446744071636272796,214
975000000,363102,18446744072710014620,214
1000000000,372374,18446744072710014620,214
1025000000,381763,18446744072710014620,214
1050000000,391105,18446744071636273052,214
1075000000,400447,18446744072710014876,214
1100000000,409723,18446744072978450076,214
1125000000,419254,18446744071636273052,214
1150000000,428867,18446744072710014620,214
1175000000,438241,18446744071636273052,214
1200000000,447805,18446744071636272796,214
1225000000,457260,18446744072710014620,214
1250000000,466679,18446744071636272796,214
1275000000,475953,18446744071636272796,214
1300000000,485219,18446744071636273052,214
1325000000,494744,18446744072710014876,214
1350000000,504113,18446744072710014876,214
1375000000,513376,18446744072710014876,214
1400000000,522703,18446744072710014620,214
1425000000,532117,18446744072710014620,214
1450000000,541377,18446744072710014620,214
1475000000,550636,18446744072710014620,214
1500000000,560003,18446744072710014620,214
1525000000,569452,18446744072710014876,214
1550000000,578712,18446744072978450076,214
1575000000,588065,18446744071636273052,214
1600000000,597344,18446744071636272796,214
1625000000,606737,18446744071636272796,214
