step,duration_ms,fittest,fitness
0,2,229089,193
25000000,11656,1774537116,214
50000000,23300,1774537116,214
75000000,34672,1774537116,214
100000000,46028,1774537116,214
125000000,57576,1774537116,214
150000000,69021,1774537116,214
175000000,80449,1774537116,214
200000000,91870,1774537116,214
225000000,103311,1774537116,214
250000000,114694,1774537116,214
275000000,126117,1774537116,214
300000000,137373,1774537116,214
325000000,148842,1774537116,214
350000000,160211,1774537116,214
375000000,171543,1774537116,214
400000000,182914,1774537116,214
425000000,194331,1774537116,214
450000000,205910,1774537116,214
475000000,217292,1774537116,214
500000000,228597,1774537116,214
525000000,239917,1774537116,214
550000000,251418,1774537116,214
575000000,263152,1774537116,214
600000000,274524,1774537116,214
625000000,285859,1774537116,214
650000000,297632,1774537116,214
675000000,308910,1774537116,214
700000000,320330,1774537116,214
725000000,331678,1774537116,214
750000000,342958,1774537116,214
775000000,354296,1774537116,214
800000000,365577,1774537116,214
825000000,376858,1774537116,214
850000000,388291,1774537116,214
875000000,399570,1774537116,214
900000000,410924,1774537116,214
925000000,422270,1774537116,214
950000000,433551,1774537116,214
975000000,444844,1774537116,214
1000000000,456126,1774537116,214
1025000000,467409,1774537116,214
1050000000,478758,1774537116,214
1075000000,490041,1774537116,214
1100000000,501456,1774537116,214
1125000000,512752,1774537116,214
1150000000,524140,1774537116,214
1175000000,535640,1774537116,214
1200000000,546913,1774537116,214
1225000000,558184,1774537116,214
1250000000,569748,1774537116,214
1275000000,581021,1774537116,214
1300000000,592312,1774537116,214
1325000000,603652,1774537116,214
