step,duration_ms,fittest,fitness
0,1,186241,190
25000000,12766,1021956609,213
50000000,25165,18446744072584024577,213
75000000,37542,18446744072584024577,213
100000000,49897,1021956609,213
125000000,62273,1021956609,213
150000000,74630,1021956609,213
175000000,87010,1021956609,213
200000000,99364,18446744072584024577,213
225000000,111773,1021958657,213
250000000,124130,18446744072584024577,213
275000000,136510,1021956609,213
300000000,148870,18446744072584024577,213
325000000,161250,1021958657,213
350000000,173756,1021958657,213
375000000,186139,1021956609,213
400000000,198500,18446744072584026625,213
425000000,210879,18446744072584026625,213
450000000,223261,18446744072584026625,213
475000000,235619,1021956609,213
500000000,247997,18446744072584024577,213
525000000,260384,1021956609,213
550000000,272764,1021958657,213
575000000,285121,1021956609,213
600000000,297498,1021956609,213
625000000,309854,18446744072584026625,213
650000000,322246,18446744072584024577,213
675000000,334602,1021956609,213
700000000,346979,18446744072584024577,213
725000000,359335,18446744072584026625,213
750000000,371708,1021958657,213
775000000,384065,18446744072584024577,213
800000000,396449,1021956609,213
825000000,408833,18446744072584026625,213
850000000,421201,18446744072584024577,213
875000000,433554,1021956609,213
900000000,445935,18446744072584024577,213
925000000,458295,1021956609,213
950000000,470719,1021958657,213
975000000,483179,1021956609,213
1000000000,495661,18446744072584026625,213
1025000000,508069,1021958657,213
1050000000,520457,18446744072584024577,213
1075000000,532811,1021958657,213
1100000000,545185,1021958657,213
1125000000,557535,1021956609,213
1150000000,569932,1021956609,213
1175000000,582297,1021956609,213
1200000000,594671,18446744072584024577,213
1225000000,606998,1021956609,213
