step,duration_ms,fittest,fitness
0,2,4215,188
25000000,13727,18446744072710014620,214
50000000,28073,18446744071636273052,214
75000000,42117,18446744072710014876,214
100000000,56120,18446744072978450076,214
125000000,70304,18446744072710014876,214
150000000,84444,18446744072978450076,214
175000000,98374,18446744072710014620,214
200000000,112463,18446744072710014620,214
225000000,126429,18446744071636273052,214
250000000,140342,18446744071636273052,214
275000000,154185,18446744071636272796,214
300000000,168275,18446744072978450076,214
325000000,182130,18446744072978450076,214
350000000,195907,18446744071636272796,214
375000000,209695,18446744072710014876,214
400000000,223527,18446744072978450076,214
425000000,237571,18446744072710014876,214
450000000,251390,18446744072710014876,214
475000000,265115,18446744072978450076,214
500000000,278843,18446744072710014620,214
525000000,292684,18446744071636273052,214
550000000,306477,18446744072978450076,214
575000000,319890,18446744071636273052,214
600000000,333255,18446744071636272796,214
625000000,346751,18446744071636273052,214
650000000,360256,18446744072710014620,214
675000000,373792,18446744072710014620,214
700000000,387210,18446744071636272796,214
725000000,400827,18446744072710014876,214
750000000,414525,18446744072978450076,214
775000000,428032,18446744072710014876,214
800000000,441573,18446744072978450076,214
825000000,454994,18446744071636272796,214
850000000,468196,18446744071636273052,214
875000000,481661,18446744072710014620,214
900000000,494994,18446744071636272796,214
925000000,508266,18446744071636273052,214
950000000,521643,18446744072710014876,214
975000000,534866,18446744072710014620,214
1000000000,548234,18446744072710014620,214
1025000000,561578,18446744072710014620,214
1050000000,574887,18446744072978450076,214
1075000000,588116,18446744071636273052,214
1100000000,601461,18446744071636273052,214
