step,duration_ms,fittest,fitness
0,2,239126,191
25000000,13457,18446744071636273052,214
50000000,27181,18446744072710014876,214
75000000,41098,18446744072710014876,214
100000000,54860,18446744071636273052,214
125000000,68990,18446744072978450076,214
150000000,83115,18446744072978450076,214
175000000,97205,18446744071636273052,214
200000000,111275,18446744072710014620,214
225000000,125291,18446744071636272796,214
250000000,139320,18446744072710014876,214
275000000,153493,18446744072710014876,214
300000000,167457,18446744072710014620,214
325000000,181410,18446744072978450076,214
350000000,194993,18446744072710014876,214
375000000,208826,18446744071636273052,214
400000000,222534,18446744071636272796,214
425000000,236369,18446744072710014876,214
450000000,250495,18446744072978450076,214
475000000,264402,18446744072978450076,214
500000000,278168,18446744072978450076,214
525000000,291831,18446744072710014620,214
550000000,305797,18446744071636273052,214
575000000,319613,18446744071636273052,214
600000000,333287,18446744072710014876,214
625000000,347294,18446744071636272796,214
650000000,361334,18446744071636272796,214
675000000,375141,18446744072978450076,214
700000000,388866,18446744072710014876,214
725000000,402736,18446744072710014620,214
750000000,416792,18446744072710014620,214
775000000,430686,18446744072710014620,214
800000000,444570,18446744072710014620,214
825000000,457703,18446744072978450076,214
850000000,470458,18446744072978450076,214
875000000,482942,18446744072710014876,214
900000000,495737,18446744072978450076,214
925000000,508233,18446744072710014876,214
950000000,520712,18446744072978450076,214
975000000,533194,18446744072710014620,214
1000000000,545676,18446744071636272796,214
1025000000,558159,18446744072978450076,214
1050000000,570652,18446744072978450076,214
1075000000,583135,18446744072978450076,214
1100000000,595620,18446744071636273052,214
1125000000,608103,18446744072710014876,214
