step,duration_ms,fittest,fitness
0,1,174894,185
25000000,10596,18446744072584024577,213
50000000,21176,18446744072584024577,213
75000000,31754,1021958657,213
100000000,42333,1021956609,213
125000000,52912,1021958657,213
150000000,63495,18446744072584026625,213
175000000,74077,18446744072584024577,213
200000000,84657,18446744072584024577,213
225000000,95239,1021956609,213
250000000,105822,18446744072584026625,213
275000000,116420,1021956609,213
300000000,127001,1021958657,213
325000000,137582,1021956609,213
350000000,148164,18446744072584026625,213
375000000,158746,1021956609,213
400000000,169328,18446744072584024577,213
425000000,179932,1021958657,213
450000000,190516,18446744072584024577,213
475000000,201099,18446744072584024577,213
500000000,211683,18446744072584024577,213
525000000,222266,18446744072584024577,213
550000000,232848,1021958657,213
575000000,243430,1021956609,213
600000000,254012,18446744072584024577,213
625000000,264612,18446744072584026625,213
650000000,275197,1021956609,213
675000000,285780,18446744072584026625,213
700000000,296363,18446744072584026625,213
725000000,306945,1021958657,213
750000000,317528,18446744072584026625,213
775000000,328112,18446744072584026625,213
800000000,338696,1021956609,213
825000000,349280,18446744072584024577,213
850000000,359862,18446744072584024577,213
875000000,370444,18446744072584024577,213
900000000,381025,18446744072584024577,213
925000000,391602,1021958657,213
950000000,402180,1021958657,213
975000000,412770,1021956609,213
1000000000,423364,1021958657,213
1025000000,433946,18446744072584026625,213
1050000000,444530,18446744072584026625,213
1075000000,455112,18446744072584024577,213
1100000000,465696,18446744072584026625,213
1125000000,476297,1021956609,213
1150000000,486882,1021958657,213
1175000000,497466,18446744072584024577,213
1200000000,508051,18446744072584024577,213
1225000000,518635,18446744072584026625,213
1250000000,529219,1021958657,213
1275000000,539801,1021956609,213
1300000000,550384,1021958657,213
1325000000,560967,18446744072584024577,213
1350000000,571569,18446744072584024577,213
1375000000,582154,1021956609,213
1400000000,592740,1021958657,213
1425000000,603326,18446744072584026625,213
