step,duration_ms,fittest,fitness
0,1,64086,186
25000000,10641,1774537116,214
50000000,21302,1774537116,214
75000000,31960,1774537116,214
100000000,42619,1774537116,214
125000000,53278,1774537116,214
150000000,63937,1774537116,214
175000000,74598,1774537116,214
200000000,85259,1774537116,214
225000000,95920,1774537116,214
250000000,106599,1774537116,214
275000000,117261,1774537116,214
300000000,127921,1774537116,214
325000000,138586,1774537116,214
350000000,149252,1774537116,214
375000000,159918,1774537116,214
400000000,170587,1774537116,214
425000000,181272,1774537116,214
450000000,191938,1774537116,214
475000000,202604,1774537116,214
500000000,213269,1774537116,214
525000000,223935,1774537116,214
550000000,234601,1774537116,214
575000000,245268,1774537116,214
600000000,255953,1774537116,214
625000000,266619,1774537116,214
650000000,277288,1774537116,214
675000000,287954,1774537116,214
700000000,298622,1774537116,214
725000000,309289,1774537116,214
750000000,319953,1774537116,214
775000000,330618,1774537116,214
800000000,341284,1774537116,214
825000000,351949,1774537116,214
850000000,362614,1774537116,214
875000000,373279,1774537116,214
900000000,383945,1774537116,214
925000000,394609,1774537116,214
950000000,405275,1774537116,214
975000000,415958,1774537116,214
1000000000,426624,1774537116,214
1025000000,437291,1774537116,214
1050000000,447958,1774537116,214
1075000000,458626,1774537116,214
1100000000,469290,1774537116,214
1125000000,479965,1774537116,214
1150000000,490630,1774537116,214
1175000000,501313,1774537116,214
1200000000,511988,1774537116,214
1225000000,522653,1774537116,214
1250000000,533318,1774537116,214
1275000000,543982,1774537116,214
1300000000,554649,1774537116,214
1325000000,565331,1774537116,214
1350000000,576002,1774537116,214
1375000000,586667,1774537116,214
1400000000,597331,1774537116,214
1425000000,607993,1774537116,214
