step,duration_ms,fittest,fitness
0,2,65235,195
25000000,9512,18446744072710014876,214
50000000,18902,18446744072710014876,214
75000000,28294,18446744072710014876,214
100000000,37549,18446744071636272796,214
125000000,46805,18446744071636272796,214
150000000,56077,18446744071636273052,214
175000000,65333,18446744072710014876,214
200000000,74589,18446744072710014876,214
225000000,84056,18446744072710014620,214
250000000,93311,18446744072978450076,214
275000000,102655,18446744072710014876,214
300000000,111977,18446744072710014620,214
325000000,121333,18446744072710014876,214
350000000,130588,18446744071636272796,214
375000000,139910,18446744072710014876,214
400000000,149165,18446744072710014876,214
425000000,158419,18446744071636272796,214
450000000,167740,18446744071636272796,214
475000000,176995,18446744071636273052,214
500000000,186250,18446744072978450076,214
525000000,195792,18446744071636272796,214
550000000,205052,18446744071636273052,214
575000000,214313,18446744072710014876,214
600000000,223573,18446744071636272796,214
625000000,232833,18446744071636273052,214
650000000,242094,18446744072710014620,214
675000000,251354,18446744072978450076,214
700000000,260682,18446744072710014876,214
725000000,270011,18446744072978450076,214
750000000,279274,18446744071636272796,214
775000000,288594,18446744072978450076,214
800000000,297965,18446744071636272796,214
825000000,307225,18446744072978450076,214
850000000,316538,18446744072710014620,214
875000000,325893,18446744072710014876,214
900000000,335399,18446744071636273052,214
925000000,344687,18446744072978450076,214
950000000,354111,18446744072710014876,214
975000000,363669,18446744072710014620,214
1000000000,373061,18446744072710014876,214
1025000000,382574,18446744071636272796,214
1050000000,391913,18446744072710014620,214
1075000000,401507,18446744071636273052,214
1100000000,410997,18446744071636273052,214
1125000000,420522,18446744072978450076,214
1150000000,430315,18446744072978450076,214
1175000000,440072,18446744071636272796,214
1200000000,449377,18446744072978450076,214
1225000000,459021,18446744071636272796,214
1250000000,469010,18446744071636272796,214
1275000000,478866,18446744071636273052,214
1300000000,488439,18446744072978450076,214
1325000000,497955,18446744072978450076,214
1350000000,507514,18446744071636272796,214
1375000000,517366,18446744071636273052,214
1400000000,527003,18446744071636273052,214
1425000000,536664,18446744072710014620,214
1450000000,546370,18446744071636273052,214
1475000000,556251,18446744071636273052,214
1500000000,565973,18446744071636272796,214
1525000000,575729,18446744072710014876,214
1550000000,585450,18446744072710014620,214
1575000000,595209,18446744071636272796,214
1600000000,605093,18446744072978450076,214
