step,duration_ms,fittest,fitness
0,1,89690,190
25000000,10637,18446744072584026625,213
50000000,21245,1021956609,213
75000000,31853,1021956609,213
100000000,42464,18446744072584024577,213
125000000,53073,18446744072584026625,213
150000000,63679,18446744072584026625,213
175000000,74287,18446744072584024577,213
200000000,84894,1021956609,213
225000000,95500,18446744072584024577,213
250000000,106108,18446744072584026625,213
275000000,116715,18446744072584026625,213
300000000,127321,1021958657,213
325000000,137928,18446744072584026625,213
350000000,148533,18446744072584026625,213
375000000,159143,1021958657,213
400000000,169750,1021956609,213
425000000,180356,18446744072584026625,213
450000000,190964,1021958657,213
475000000,201569,18446744072584024577,213
500000000,212175,1021958657,213
525000000,222781,1021958657,213
550000000,233387,1021958657,213
575000000,243995,1021958657,213
600000000,254605,1021958657,213
625000000,265213,1021958657,213
650000000,275819,1021958657,213
675000000,286426,18446744072584026625,213
700000000,297032,18446744072584026625,213
725000000,307641,1021958657,213
750000000,318249,1021958657,213
775000000,328857,1021958657,213
800000000,339464,1021958657,213
825000000,350069,1021958657,213
850000000,360675,18446744072584024577,213
875000000,371283,18446744072584024577,213
900000000,381889,18446744072584026625,213
925000000,392497,1021958657,213
950000000,403107,1021958657,213
975000000,413714,1021956609,213
1000000000,424323,18446744072584024577,213
1025000000,434931,18446744072584026625,213
1050000000,445540,1021956609,213
1075000000,456146,1021958657,213
1100000000,466755,18446744072584024577,213
1125000000,477363,1021958657,213
1150000000,487966,18446744072584026625,213
1175000000,498573,18446744072584024577,213
1200000000,509181,18446744072584024577,213
1225000000,519788,1021956609,213
1250000000,530394,18446744072584024577,213
1275000000,541000,1021956609,213
1300000000,551608,18446744072584026625,213
1325000000,562217,1021958657,213
1350000000,572822,18446744072584024577,213
1375000000,583428,18446744072584026625,213
1400000000,594033,18446744072584026625,213
1425000000,604569,1021958657,213
